model_type,train_time,best_nround,mse,ndcg,arch_config,metric,batchsize,nrounds,wd,loss,device,early_stopping_rounds,hyper_id,arch_name,lr
neurotrees,23.41122633,11,0.5820589747595771,0.4591163105147416,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 64, :ntrees => 128, :init_scale => 1, :tree_type => :binary, :depth => 3, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,1,NeuroTreeConfig,0.001
neurotrees,25.568979131,12,0.5774612661591032,0.4586751317511317,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 8, :ntrees => 64, :init_scale => 1, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,2,NeuroTreeConfig,0.001
neurotrees,25.801454045,12,0.580047141940269,0.4516708791450764,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 32, :ntrees => 128, :init_scale => 1, :tree_type => :binary, :depth => 3, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,3,NeuroTreeConfig,0.001
neurotrees,47.425779495,8,0.5849837898617041,0.4554524565734681,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 8, :ntrees => 256, :init_scale => 1, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,4,NeuroTreeConfig,0.001
neurotrees,22.521744085,14,0.577244454663515,0.4610434678542987,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 16, :ntrees => 32, :init_scale => 1, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,5,NeuroTreeConfig,0.001
neurotrees,33.477482543,14,0.5786938612279482,0.4621075151445165,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 16, :ntrees => 128, :init_scale => 1, :tree_type => :binary, :depth => 3, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,6,NeuroTreeConfig,0.001
neurotrees,44.355522298,12,0.5763071000548589,0.46419797925737394,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 16, :ntrees => 64, :init_scale => 1, :tree_type => :binary, :depth => 5, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,7,NeuroTreeConfig,0.001
neurotrees,39.688738919,17,0.5736707063961811,0.46432339739844936,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 64, :ntrees => 32, :init_scale => 1, :tree_type => :binary, :depth => 5, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,8,NeuroTreeConfig,0.001
neurotrees,52.098023999,14,0.579691987505618,0.4615514140407189,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 8, :ntrees => 256, :init_scale => 1, :tree_type => :binary, :depth => 3, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,9,NeuroTreeConfig,0.001
neurotrees,50.792665075,15,0.5764368879805103,0.4642016424956346,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 64, :ntrees => 128, :init_scale => 1, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,10,NeuroTreeConfig,0.001
neurotrees,96.171695334,16,0.5737689636246606,0.46685115757496154,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 64, :ntrees => 128, :init_scale => 1, :tree_type => :binary, :depth => 5, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,11,NeuroTreeConfig,0.001
neurotrees,26.403416638,17,0.5783951597601674,0.4643955007929741,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 32, :ntrees => 32, :init_scale => 1, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,12,NeuroTreeConfig,0.001
neurotrees,16.54097108,9,0.5819315692002117,0.4543160688851592,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 64, :ntrees => 32, :init_scale => 1, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,13,NeuroTreeConfig,0.001
neurotrees,174.841200899,15,0.5777469575435168,0.47090708288572125,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 64, :ntrees => 256, :init_scale => 1, :tree_type => :binary, :depth => 5, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,14,NeuroTreeConfig,0.001
neurotrees,52.293000078,10,0.5801950674339471,0.4588150798689577,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 64, :ntrees => 256, :init_scale => 1, :tree_type => :binary, :depth => 4, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,15,NeuroTreeConfig,0.001
neurotrees,40.97682601,12,0.578165793835027,0.4605566763550129,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 32, :ntrees => 64, :init_scale => 1, :tree_type => :binary, :depth => 5, :scaler => true, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,16,NeuroTreeConfig,0.001
