model_type,train_time,best_nround,mse,ndcg,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,14.444731045,285,0.5493694701275362,0.5097853057812279,0,rmse,1.0,10,10,0.05,reg:squarederror,hist,0.8,5000,10,64
xgboost,8.953710752,180,0.553583208032953,0.5061275379199386,0,rmse,0.8,10,0,0.05,reg:squarederror,hist,0.4,5000,10,64
xgboost,17.9851389,626,0.553361173427726,0.5089580789987024,0,rmse,0.4,6,10,0.05,reg:squarederror,hist,0.6,5000,10,64
xgboost,14.373072288,414,0.5507856119426097,0.5118667227567613,0,rmse,0.8,8,10,0.05,reg:squarederror,hist,0.6,5000,10,64
xgboost,22.650434048,804,0.551698859072659,0.5102915140970312,0,rmse,1.0,6,10,0.05,reg:squarederror,hist,0.8,5000,10,64
xgboost,10.86286129,221,0.5500466383836323,0.510900772015994,0,rmse,0.8,10,1,0.05,reg:squarederror,hist,0.8,5000,10,64
xgboost,19.080866225,626,0.5528286123223433,0.5086550437002185,0,rmse,0.6,6,10,0.05,reg:squarederror,hist,0.6,5000,10,64
xgboost,12.240269735,264,0.5524606782888334,0.5067034438295122,0,rmse,0.4,10,1,0.05,reg:squarederror,hist,0.4,5000,10,64
xgboost,24.893581046,959,0.5573559486640414,0.5039502727602039,0,rmse,0.8,4,1,0.05,reg:squarederror,hist,0.4,5000,10,64
xgboost,28.891772011,949,0.5518529055924547,0.5114539349393318,0,rmse,0.4,6,0,0.05,reg:squarederror,hist,0.8,5000,10,64
xgboost,15.626874407,322,0.5494353861772099,0.508593691956155,0,rmse,0.6,10,10,0.05,reg:squarederror,hist,0.6,5000,10,64
xgboost,12.068988906,224,0.5503499495706026,0.5113621957376883,0,rmse,0.6,10,1,0.05,reg:squarederror,hist,0.6,5000,10,64
xgboost,26.134670209,1001,0.5562607612649192,0.5013355807129494,0,rmse,1.0,4,1,0.05,reg:squarederror,hist,0.4,5000,10,64
xgboost,14.865933364,387,0.5504792830692914,0.51137400499162,0,rmse,0.8,8,1,0.05,reg:squarederror,hist,0.6,5000,10,64
xgboost,24.451105404,987,0.5569665106678646,0.503262064184434,0,rmse,1.0,4,10,0.05,reg:squarederror,hist,0.8,5000,10,64
xgboost,21.464393942,730,0.5523244519763492,0.5101688926349154,0,rmse,0.4,6,10,0.05,reg:squarederror,hist,1.0,5000,10,64
