model_type,train_time,logloss,accuracy,gamma,best_nround,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,3.891802018,0.41271463,0.8059701492537313,0,57,0,binary,logloss,9,0,1,0.05,0.25,64,500,logloss,0.6,5
evotrees,0.250459629,0.39549437,0.7985074626865671,0,76,1,binary,logloss,11,0,1,0.05,0.5,64,500,logloss,0.8,5
evotrees,0.085970757,0.40595073,0.8283582089552238,0,108,0,binary,logloss,5,0,1,0.05,0.5,64,500,logloss,0.4,5
evotrees,0.256477381,0.41796142,0.8134328358208955,0,62,0,binary,logloss,9,0,1,0.05,0.5,64,500,logloss,0.6,5
evotrees,0.151134883,0.4062322,0.7910447761194029,0,108,1,binary,logloss,7,0,1,0.05,1.0,64,500,logloss,0.4,5
evotrees,0.116358765,0.4271791,0.8208955223880597,0,119,10,binary,logloss,5,0,1,0.05,0.5,64,500,logloss,0.8,5
evotrees,0.042413814,0.42727417,0.7985074626865671,0,58,0,binary,logloss,5,0,1,0.05,0.5,64,500,logloss,1.0,5
evotrees,0.192084798,0.41315362,0.7985074626865671,0,82,1,binary,logloss,11,0,1,0.05,0.25,64,500,logloss,1.0,5
evotrees,0.165649187,0.42011666,0.8059701492537313,0,129,1,binary,logloss,9,0,1,0.05,0.25,64,500,logloss,0.4,5
evotrees,0.168448623,0.41407806,0.8134328358208955,0,136,10,binary,logloss,7,0,1,0.05,0.75,64,500,logloss,0.6,5
evotrees,0.427774057,0.4711456,0.8134328358208955,0,44,0,binary,logloss,11,0,1,0.05,1.0,64,500,logloss,0.8,5
evotrees,0.066326141,0.43368188,0.8208955223880597,0,88,0,binary,logloss,5,0,1,0.05,0.25,64,500,logloss,0.4,5
evotrees,0.172867959,0.42713785,0.7985074626865671,0,152,10,binary,logloss,9,0,1,0.05,0.25,64,500,logloss,0.8,5
evotrees,0.265793527,0.42232946,0.8059701492537313,0,187,10,binary,logloss,11,0,1,0.05,0.5,64,500,logloss,0.4,5
evotrees,0.331665488,0.4355576,0.8208955223880597,0,81,0,binary,logloss,11,0,1,0.05,0.5,64,500,logloss,0.4,5
evotrees,0.334425682,0.40386227,0.8283582089552238,0,166,10,binary,logloss,9,0,1,0.05,1.0,64,500,logloss,0.6,5
