model_type,train_time,best_nround,logloss,accuracy,boosting_size,num_trees,tree_type,metric,batchsize,nrounds,hidden_size,wd,loss,device,early_stopping_rounds,depth,lr,stack_size
neurotrees,11.005904916,59,0.45408583,0.8208955223880597,1,64,stack,logloss,312,500,32,0.0,logloss,gpu,3,5,0.003,3
neurotrees,10.580275989,95,0.45442528,0.8134328358208955,1,32,stack,logloss,312,500,8,0.0,logloss,gpu,3,4,0.003,2
neurotrees,11.457078939,105,0.43682137,0.835820895522388,1,16,stack,logloss,312,500,16,0.0,logloss,gpu,3,3,0.003,2
neurotrees,11.287299966,85,0.46234193,0.7835820895522388,1,32,stack,logloss,312,500,32,0.0,logloss,gpu,3,5,0.003,2
neurotrees,28.914765161,281,0.4298775,0.8134328358208955,1,32,stack,logloss,312,500,32,0.0,logloss,gpu,3,3,0.003,1
neurotrees,12.062046897,113,0.45795834,0.8208955223880597,1,16,stack,logloss,312,500,8,0.0,logloss,gpu,3,4,0.003,2
neurotrees,8.828275495,57,0.44935364,0.8283582089552238,1,32,stack,logloss,312,500,32,0.0,logloss,gpu,3,5,0.003,3
neurotrees,8.756545842,64,0.44937307,0.8283582089552238,1,64,stack,logloss,312,500,16,0.0,logloss,gpu,3,4,0.003,3
neurotrees,27.54427198,262,0.41963306,0.8283582089552238,1,32,stack,logloss,312,500,8,0.0,logloss,gpu,3,5,0.003,1
neurotrees,9.027594826,78,0.46329522,0.7835820895522388,1,32,stack,logloss,312,500,8,0.0,logloss,gpu,3,5,0.003,2
neurotrees,28.830129599,280,0.4327314,0.835820895522388,1,16,stack,logloss,312,500,8,0.0,logloss,gpu,3,3,0.003,1
neurotrees,13.681688472,94,0.4493907,0.7835820895522388,1,64,stack,logloss,312,500,32,0.0,logloss,gpu,3,5,0.003,2
neurotrees,29.617314235,270,0.42773667,0.8283582089552238,1,64,stack,logloss,312,500,32,0.0,logloss,gpu,3,5,0.003,1
neurotrees,11.48676444,93,0.45203498,0.8059701492537313,1,64,stack,logloss,312,500,16,0.0,logloss,gpu,3,3,0.003,2
neurotrees,8.899086682,67,0.45008808,0.835820895522388,1,16,stack,logloss,312,500,32,0.0,logloss,gpu,3,5,0.003,3
neurotrees,9.367857016,78,0.4289687,0.835820895522388,1,64,stack,logloss,312,500,16,0.0,logloss,gpu,3,3,0.003,3
