model_type,train_time,logloss,accuracy,num_class,eval_metric,best_nround,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,0.020547841,0.3990165,0.8059701492537313,0,logloss,71,0.6,4,0,0.05,reg:logistic,hist,0.75,500,5,64
xgboost,0.04353979,0.4148882,0.8059701492537313,0,logloss,131,0.4,10,1,0.05,reg:logistic,hist,0.5,500,5,64
xgboost,0.022307242,0.38559923,0.8283582089552238,0,logloss,56,0.8,8,0,0.05,reg:logistic,hist,0.75,500,5,64
xgboost,0.0309137,0.4498224,0.7835820895522388,0,logloss,138,0.4,6,10,0.05,reg:logistic,hist,0.5,500,5,64
xgboost,0.025225582,0.39078385,0.8432835820895522,0,logloss,71,0.6,6,0,0.05,reg:logistic,hist,0.5,500,5,64
xgboost,0.056231063,0.39430964,0.8059701492537313,0,logloss,165,0.8,8,10,0.05,reg:logistic,hist,0.75,500,5,64
xgboost,0.021709197,0.3937183,0.8208955223880597,0,logloss,84,0.8,4,0,0.05,reg:logistic,hist,0.5,500,5,64
xgboost,0.02621717,0.38550887,0.8134328358208955,0,logloss,82,0.8,6,1,0.05,reg:logistic,hist,0.5,500,5,64
xgboost,0.015962426,0.40691742,0.8059701492537313,0,logloss,60,1.0,4,0,0.05,reg:logistic,hist,0.5,500,5,64
xgboost,0.015015486,0.41001216,0.8134328358208955,0,logloss,55,1.0,4,0,0.05,reg:logistic,hist,0.75,500,5,64
xgboost,0.056490664,0.41863102,0.8134328358208955,0,logloss,268,0.4,4,10,0.05,reg:logistic,hist,0.75,500,5,64
xgboost,0.034947422,0.4070079,0.8208955223880597,0,logloss,103,1.0,10,10,0.05,reg:logistic,hist,0.75,500,5,64
xgboost,0.022474719,0.40290505,0.8134328358208955,0,logloss,97,1.0,4,1,0.05,reg:logistic,hist,0.25,500,5,64
xgboost,0.02004703,0.4120349,0.835820895522388,0,logloss,68,0.6,8,1,0.05,reg:logistic,hist,0.25,500,5,64
xgboost,0.079196252,0.40013912,0.8283582089552238,0,logloss,298,0.4,8,10,0.05,reg:logistic,hist,1.0,500,5,64
xgboost,0.02546825,0.3966192,0.835820895522388,0,logloss,70,0.6,8,1,0.05,reg:logistic,hist,1.0,500,5,64
