model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
catboost,1,0.046616655,57,0.4327312350122679,0.3872784139296162,0.7467042253521127,0.7811230585424136
catboost,2,0.048689443,19,0.45778006084556516,0.41908587831835054,0.7201126760563381,0.7629629629629631
catboost,3,0.038713959,29,0.4410223087142638,0.3883158527865293,0.7178591549295776,0.7794504181600957
catboost,4,0.044877902,88,0.4289992899133142,0.3786448477289791,0.7433239436619719,0.7940262843488651
catboost,5,0.046148147,63,0.4356369466072756,0.3748747428270689,0.723943661971831,0.7954599761051377
catboost,6,0.032625746,40,0.4478836934706898,0.38714596062523715,0.7162816901408451,0.7794504181600957
catboost,7,0.042966988,82,0.4290361792456845,0.38150116509749993,0.7433239436619719,0.784229390681004
catboost,8,0.055118632,61,0.4236773576856646,0.3751821425281778,0.7503098591549295,0.801672640382318
catboost,9,0.030283742,30,0.45137389487093477,0.39820264524356974,0.7162816901408451,0.7756272401433695
catboost,10,0.055072329,105,0.43254848615425057,0.3750268944745257,0.7298028169014086,0.7911589008363202
catboost,11,0.050853857,91,0.4267686025137938,0.3640892884036598,0.7403943661971831,0.8045400238948629
catboost,12,0.059073041,82,0.43138385862249945,0.37415576041853493,0.7385915492957746,0.8007168458781363
catboost,13,0.032614398,43,0.43370693301042845,0.39171276352190204,0.7426478873239437,0.7811230585424135
catboost,14,0.037176508,40,0.45176847498800965,0.39742685887784956,0.7234929577464789,0.758661887694146
catboost,15,0.032471685,38,0.4454616096195883,0.389869273643535,0.7185352112676057,0.7746714456391877
catboost,16,0.029844222,40,0.4400861937639033,0.3979468082580883,0.7133521126760564,0.7782556750298687
