model_type,train_time,logloss,accuracy,best_nround,L2,tree_type,metric,max_depth,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.4872537,0.39797035,0.8208955223880597,57,0,binary,mlogloss,9,0.05,0.25,64,500,mlogloss,0.6,5
evotrees,0.9361747,0.4349999,0.8283582089552238,135,10,binary,mlogloss,11,0.05,0.25,64,500,mlogloss,0.4,5
evotrees,0.4638215,0.40928066,0.8208955223880597,46,1,binary,mlogloss,11,0.05,0.75,64,500,mlogloss,0.8,5
evotrees,0.0560029,0.43481088,0.7910447761194029,40,0,binary,mlogloss,5,0.05,0.5,64,500,mlogloss,0.8,5
evotrees,0.1851608,0.42230973,0.7910447761194029,55,1,binary,mlogloss,7,0.05,0.75,64,500,mlogloss,0.8,5
evotrees,0.5285647,0.3962027,0.8283582089552238,164,10,binary,mlogloss,9,0.05,1.0,64,500,mlogloss,0.4,5
evotrees,0.4614711,0.41590765,0.8283582089552238,33,0,binary,mlogloss,11,0.05,0.75,64,500,mlogloss,0.6,5
evotrees,0.0870703,0.42735645,0.8059701492537313,59,1,binary,mlogloss,5,0.05,1.0,64,500,mlogloss,1.0,5
evotrees,0.3149257,0.4140238,0.8283582089552238,117,10,binary,mlogloss,7,0.05,0.5,64,500,mlogloss,1.0,5
evotrees,0.1119681,0.41997662,0.8059701492537313,62,0,binary,mlogloss,5,0.05,0.75,64,500,mlogloss,0.8,5
evotrees,0.1397863,0.4099739,0.8059701492537313,84,0,binary,mlogloss,5,0.05,0.75,64,500,mlogloss,0.4,5
evotrees,0.0915906,0.41585115,0.8208955223880597,70,1,binary,mlogloss,5,0.05,1.0,64,500,mlogloss,0.6,5
evotrees,0.2926123,0.40535262,0.8134328358208955,102,10,binary,mlogloss,7,0.05,1.0,64,500,mlogloss,0.8,5
evotrees,1.0070238,0.4006593,0.8134328358208955,187,10,binary,mlogloss,11,0.05,0.75,64,500,mlogloss,0.4,5
evotrees,0.1630784,0.42186832,0.8134328358208955,119,10,binary,mlogloss,5,0.05,0.5,64,500,mlogloss,0.8,5
evotrees,0.1359652,0.4249804,0.8134328358208955,136,10,binary,mlogloss,5,0.05,0.25,64,500,mlogloss,0.6,5
