model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
evotrees,1,0.037122843,35,0.4718859,0.3846904,0.6558873239436621,0.7873357228195941
evotrees,2,0.062251546,83,0.4472389,0.39566883,0.7009577464788733,0.7632019115890086
evotrees,3,0.114727646,62,0.4530944,0.3837486,0.687887323943662,0.7698924731182798
evotrees,4,0.022516524,35,0.4577681,0.3700448,0.6772957746478874,0.8207885304659501
evotrees,5,0.039056116,35,0.4718278,0.3584559,0.6543098591549297,0.8167264038231782
evotrees,6,0.041390724,55,0.45016545,0.37184682,0.6946478873239438,0.8000000000000003
evotrees,7,0.022665282,55,0.42855224,0.37902716,0.7406197183098592,0.7925925925925928
evotrees,8,0.133026575,99,0.44084284,0.3764929,0.7059154929577466,0.8031063321385904
evotrees,9,0.061075062,111,0.44246867,0.39886472,0.7131267605633803,0.7758661887694147
evotrees,10,0.040075387,60,0.45028055,0.37932605,0.6975774647887324,0.7913978494623658
evotrees,11,0.057458015,65,0.4625821,0.41793737,0.675718309859155,0.7211469534050181
evotrees,12,0.125123007,165,0.4409224,0.40095276,0.7126760563380282,0.7675029868578259
evotrees,13,0.03934265,100,0.43661362,0.3809886,0.716507042253521,0.795698924731183
evotrees,14,0.054461374,85,0.42783573,0.36933655,0.7345352112676057,0.8045400238948629
evotrees,15,0.057509841,84,0.4399084,0.39229468,0.7221408450704226,0.7913978494623658
evotrees,16,0.041207339,87,0.42446175,0.36225545,0.7268732394366197,0.8057347670250897
