model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
lightgbm,1,0.158400099,109,0.4340900570427533,0.3854225755177269,0.7291267605633803,0.7902031063321387
lightgbm,2,0.096328089,45,0.4463800010150613,0.38121191314105013,0.7052394366197183,0.8019115890083633
lightgbm,3,0.233472862,68,0.4555470322876751,0.37753716698805895,0.6872112676056339,0.7937873357228198
lightgbm,4,0.275921833,92,0.4323638829560817,0.3737431047544773,0.7257464788732395,0.8078853046594984
lightgbm,5,0.180643892,45,0.44799037811708825,0.3877033594572329,0.7138028169014086,0.8033452807646357
lightgbm,6,0.28649044,45,0.4463800010150613,0.38121191314105013,0.7052394366197183,0.8019115890083633
lightgbm,7,0.170724794,86,0.42598129723641504,0.36254028785146336,0.7237183098591549,0.8088410991636801
lightgbm,8,0.188662467,92,0.4323638829560817,0.3737431047544773,0.7257464788732395,0.8078853046594984
lightgbm,9,0.187537893,68,0.4555470322876751,0.37753716698805895,0.6872112676056339,0.7937873357228198
lightgbm,10,0.187943309,92,0.4323638829560817,0.3737431047544773,0.7257464788732395,0.8078853046594984
lightgbm,11,0.214980835,80,0.4478840925785301,0.3768478805180164,0.6980281690140845,0.7913978494623658
lightgbm,12,0.221438406,109,0.4340900570427533,0.3854225755177269,0.7291267605633803,0.7902031063321387
lightgbm,13,0.17076003,62,0.4272855355436143,0.3689565242377376,0.7309295774647887,0.8081242532855437
lightgbm,14,0.128175801,45,0.4463800010150613,0.38121191314105013,0.7052394366197183,0.8019115890083633
lightgbm,15,0.139276432,68,0.4555470322876751,0.37753716698805895,0.6872112676056339,0.7937873357228198
lightgbm,16,0.192463124,80,0.4535746633321144,0.3708028230028781,0.6883380281690141,0.7913978494623658
