model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
neurotree,1,2.328595529,190,0.4220109,0.37441385,0.7347605633802816,0.8162485065710875
neurotree,2,4.062698883,162,0.42575276,0.37335864,0.731830985915493,0.8140979689366789
neurotree,3,5.174481216,159,0.42882526,0.37432554,0.728225352112676,0.8162485065710875
neurotree,4,3.021917226,118,0.43036652,0.38629043,0.7397183098591549,0.7830346475507768
neurotree,5,2.123274058,187,0.42187804,0.37506837,0.7352112676056338,0.8167264038231782
neurotree,6,4.300654722,154,0.42679414,0.37415388,0.7266478873239437,0.8157706093189966
neurotree,7,4.00258152,156,0.42819032,0.37491864,0.7293521126760565,0.8138590203106333
neurotree,8,2.756972621,159,0.42837262,0.37444332,0.7280000000000001,0.8167264038231782
neurotree,9,2.124171412,154,0.42622846,0.3743964,0.7311549295774649,0.8155316606929511
neurotree,10,4.249223504,197,0.42339784,0.37511292,0.7379154929577465,0.8167264038231782
neurotree,11,2.125027449,195,0.42191327,0.3740996,0.7370140845070423,0.8193548387096776
neurotree,12,4.379787061,191,0.42317578,0.37626183,0.7372394366197184,0.8150537634408603
neurotree,13,2.091870433,153,0.42906648,0.37525782,0.7304788732394366,0.8152927120669057
neurotree,14,5.204451516,135,0.43067232,0.37582472,0.7266478873239437,0.8138590203106334
neurotree,15,3.81967425,114,0.43237406,0.38778126,0.7358873239436621,0.7839904420549584
neurotree,16,4.234821168,126,0.43392763,0.38033962,0.7266478873239437,0.8129032258064516
