model_type,train_time,best_nround,logloss,accuracy,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,0.111850677,18,0.4128965428434698,0.8283582089552238,Logloss,4,0.1,0.5,Logloss,0.9,1000,10,0
catboost,0.065328778,33,0.4119987416058921,0.7985074626865671,Logloss,10,0.1,0.5,Logloss,0.6,1000,10,1
catboost,0.037893338,38,0.39365869720093327,0.8208955223880597,Logloss,8,0.1,0.5,Logloss,0.6,1000,10,1
catboost,0.023048152,13,0.43835345767178485,0.8134328358208955,Logloss,6,0.1,0.9,Logloss,0.3,1000,10,0
catboost,0.023456377,11,0.42805893512988713,0.7985074626865671,Logloss,8,0.1,0.5,Logloss,0.9,1000,10,0
catboost,0.023519719,16,0.4478996755243153,0.8134328358208955,Logloss,6,0.1,0.9,Logloss,0.9,1000,10,0
catboost,0.048721468,36,0.39606069904798963,0.8208955223880597,Logloss,10,0.1,0.5,Logloss,0.9,1000,10,1
catboost,0.039403243,15,0.4584752810490636,0.7910447761194029,Logloss,10,0.1,0.9,Logloss,0.9,1000,10,0
catboost,0.031452237,38,0.401527807094371,0.8134328358208955,Logloss,6,0.1,0.5,Logloss,0.3,1000,10,10
catboost,0.065060168,54,0.39263586109892046,0.8283582089552238,Logloss,10,0.1,0.5,Logloss,0.3,1000,10,10
catboost,0.025086086,10,0.4527547867621242,0.7985074626865671,Logloss,8,0.1,0.9,Logloss,0.6,1000,10,0
catboost,0.025979208,29,0.4033519922587058,0.8283582089552238,Logloss,4,0.1,0.9,Logloss,0.9,1000,10,1
catboost,0.033240911,9,0.45799329665691185,0.8208955223880597,Logloss,10,0.1,0.9,Logloss,0.3,1000,10,0
catboost,0.044726465,44,0.4125459342692346,0.8208955223880597,Logloss,8,0.1,0.5,Logloss,0.3,1000,10,1
catboost,0.112544704,71,0.38673249471910265,0.8582089552238806,Logloss,10,0.1,0.9,Logloss,0.6,1000,10,10
catboost,0.04322707,70,0.39115937315364596,0.8283582089552238,Logloss,4,0.1,0.9,Logloss,0.6,1000,10,10
