model_type,train_time,best_nround,logloss,accuracy,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,6.93789625,162,0.4154227,0.8059701492537313,0,10,binary,logloss,11,0,1,0.05,0.4,128,1000,logloss,0.6,10
evotrees,0.158438099,225,0.40834597,0.8134328358208955,0,10,binary,logloss,5,0,1,0.05,0.8,128,1000,logloss,0.4,10
evotrees,0.522372202,49,0.4275834,0.7985074626865671,0,0,binary,logloss,11,0,1,0.05,1.0,128,1000,logloss,0.6,10
evotrees,0.590227732,263,0.3966103,0.8208955223880597,0,10,binary,logloss,11,0,1,0.05,0.4,128,1000,logloss,0.8,10
evotrees,0.216810948,162,0.41904622,0.8059701492537313,0,10,binary,logloss,7,0,1,0.05,0.4,128,1000,logloss,0.6,10
evotrees,0.17838632,77,0.4065177,0.7985074626865671,0,0,binary,logloss,7,0,1,0.05,0.6,128,1000,logloss,0.8,10
evotrees,0.10438539,149,0.4159789,0.8134328358208955,0,10,binary,logloss,5,0,1,0.05,0.4,128,1000,logloss,1.0,10
evotrees,0.130450377,71,0.4317414,0.7835820895522388,0,1,binary,logloss,7,0,1,0.05,1.0,128,1000,logloss,1.0,10
evotrees,0.146834556,223,0.39684838,0.8283582089552238,0,1,binary,logloss,5,0,1,0.05,0.6,128,1000,logloss,0.4,10
evotrees,0.148596199,62,0.41108075,0.7985074626865671,0,0,binary,logloss,7,0,1,0.05,0.8,128,1000,logloss,0.8,10
evotrees,0.465511257,64,0.4160947,0.8134328358208955,0,0,binary,logloss,11,0,1,0.05,0.6,128,1000,logloss,0.8,10
evotrees,0.168825918,82,0.40862507,0.7910447761194029,0,0,binary,logloss,7,0,1,0.05,1.0,128,1000,logloss,0.4,10
evotrees,0.411000841,102,0.380556,0.8059701492537313,0,1,binary,logloss,11,0,1,0.05,0.6,128,1000,logloss,0.8,10
evotrees,0.461038541,297,0.38247624,0.835820895522388,0,10,binary,logloss,9,0,1,0.05,1.0,128,1000,logloss,0.4,10
evotrees,0.206507514,162,0.39022914,0.8283582089552238,0,1,binary,logloss,7,0,1,0.05,0.6,128,1000,logloss,0.4,10
evotrees,0.133322894,153,0.41267297,0.8208955223880597,0,10,binary,logloss,5,0,1,0.05,0.6,128,1000,logloss,1.0,10
