model_type,train_time,best_nround,logloss,accuracy,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,1.454614939,0,0.5164843058578079,0.8283582089552238,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,1,32,128,0.6
lightgbm,0.653941796,0,0.6717921265824981,0.8432835820895522,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,128,128,0.9
lightgbm,0.61561416,0,0.4948811796283483,0.8283582089552238,0.5,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,1,32,128,0.6
lightgbm,0.561970542,0,0.39130762310767336,0.835820895522388,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,10,32,128,0.9
lightgbm,0.715544066,0,0.6717921265824981,0.8432835820895522,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,512,128,0.6
lightgbm,0.607469096,0,0.39130762310767336,0.835820895522388,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,10,128,128,0.9
lightgbm,0.743431478,0,0.3942473464610885,0.835820895522388,0.5,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,10,512,128,0.9
lightgbm,0.67981758,0,0.6717921265824981,0.8432835820895522,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,512,128,0.3
lightgbm,0.588299856,0,0.5164843058578079,0.8283582089552238,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,1,128,128,0.6
lightgbm,0.986510381,0,0.6717921265824981,0.8432835820895522,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,2048,128,0.6
lightgbm,0.615583528,0,0.4948811796283483,0.8283582089552238,0.5,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,1,128,128,0.3
lightgbm,0.633644622,0,0.5698078211054226,0.8507462686567164,0.5,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,128,128,0.9
lightgbm,0.656912904,0,0.6717921265824981,0.8432835820895522,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,32,128,0.6
lightgbm,0.677432999,0,0.6717921265824981,0.8432835820895522,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,128,128,0.6
lightgbm,0.921443902,0,0.5164843058578079,0.8283582089552238,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,1,2048,128,0.6
lightgbm,0.536575025,0,0.4948811796283483,0.8283582089552238,0.5,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,1,32,128,0.3
