model_type,train_time,best_nround,logloss,accuracy,ntrees,tree_type,metric,batchsize,nrounds,hidden_size,wd,loss,device,early_stopping_rounds,lr,depth,stack_size
neurotrees,8.301679669,75,0.42003062,0.8208955223880597,64,stack,logloss,624,200,32,0.0,logloss,gpu,2,0.03,5,1
neurotrees,9.289435654,107,0.4338374,0.8208955223880597,32,stack,logloss,624,200,16,0.0,logloss,gpu,2,0.03,4,1
neurotrees,10.006534279,116,0.4201385,0.8208955223880597,16,stack,logloss,624,200,32,0.0,logloss,gpu,2,0.03,3,1
neurotrees,6.870246346,78,0.41593313,0.835820895522388,32,stack,logloss,624,200,32,0.0,logloss,gpu,2,0.03,5,1
neurotrees,10.368340124,108,0.42844975,0.8208955223880597,32,stack,logloss,624,200,32,0.0,logloss,gpu,2,0.03,3,1
neurotrees,6.883239213,80,0.4177034,0.835820895522388,16,stack,logloss,624,200,16,0.0,logloss,gpu,2,0.03,5,1
neurotrees,7.620580541,89,0.418836,0.8134328358208955,64,stack,logloss,624,200,16,0.0,logloss,gpu,2,0.03,3,1
neurotrees,7.083475123,79,0.41683802,0.8283582089552238,64,stack,logloss,624,200,8,0.0,logloss,gpu,2,0.03,5,1
neurotrees,11.815476789,139,0.4495227,0.8134328358208955,16,stack,logloss,624,200,8,0.0,logloss,gpu,2,0.03,4,1
neurotrees,9.912125411,116,0.42447323,0.8208955223880597,64,stack,logloss,624,200,8,0.0,logloss,gpu,2,0.03,3,1
neurotrees,9.940929127,117,0.42509001,0.8208955223880597,16,stack,logloss,624,200,8,0.0,logloss,gpu,2,0.03,3,1
neurotrees,9.871888613,116,0.42129013,0.8208955223880597,32,stack,logloss,624,200,16,0.0,logloss,gpu,2,0.03,3,1
neurotrees,7.448051083,83,0.42377454,0.8283582089552238,64,stack,logloss,624,200,16,0.0,logloss,gpu,2,0.03,5,1
neurotrees,7.27314675,84,0.41941193,0.8283582089552238,64,stack,logloss,624,200,16,0.0,logloss,gpu,2,0.03,4,1
neurotrees,6.287785245,72,0.41672143,0.8208955223880597,32,stack,logloss,624,200,16,0.0,logloss,gpu,2,0.03,5,1
neurotrees,7.512644354,87,0.4148275,0.8283582089552238,64,stack,logloss,624,200,32,0.0,logloss,gpu,2,0.03,4,1
