model_type,train_time,best_nround,logloss,accuracy,eval_metric,max_depth,learning_rate,rsm,objective,subsample,border_count,iterations,early_stopping_rounds,reg_lambda
catboost,0.128166809,111,0.3523322932854563,0.8646616541353384,Logloss,10,0.05,1.0,Logloss,0.8,64,1000,10,10
catboost,0.040271893,52,0.36020857035413584,0.8646616541353384,Logloss,8,0.05,0.4,Logloss,0.4,64,1000,10,1
catboost,0.055406553,110,0.3681118451065328,0.8571428571428571,Logloss,4,0.05,0.6,Logloss,0.8,64,1000,10,1
catboost,0.031070773,43,0.39590494058982884,0.849624060150376,Logloss,4,0.05,0.4,Logloss,0.8,64,1000,10,0
catboost,0.043946878,79,0.3699936480456937,0.8571428571428571,Logloss,4,0.05,0.8,Logloss,0.4,64,1000,10,1
catboost,0.111844979,131,0.3485607093651048,0.8721804511278195,Logloss,10,0.05,0.6,Logloss,0.6,64,1000,10,10
catboost,0.029960557,37,0.37900171397978305,0.8646616541353384,Logloss,6,0.05,0.8,Logloss,1.0,64,1000,10,0
catboost,0.04042659,70,0.37472133370612065,0.8571428571428571,Logloss,4,0.05,0.8,Logloss,0.6,64,1000,10,1
catboost,0.027378537,29,0.39002442453822905,0.8796992481203008,Logloss,6,0.05,1.0,Logloss,0.4,64,1000,10,0
catboost,0.027800906,31,0.3809056367475769,0.8646616541353384,Logloss,8,0.05,0.4,Logloss,1.0,64,1000,10,0
catboost,0.029277498,37,0.39398853164996356,0.8421052631578947,Logloss,6,0.05,0.6,Logloss,0.8,64,1000,10,0
catboost,0.03571334,51,0.3852994901378712,0.8571428571428571,Logloss,4,0.05,1.0,Logloss,0.6,64,1000,10,0
catboost,0.022083374,18,0.4012270407836017,0.8195488721804511,Logloss,6,0.05,0.6,Logloss,1.0,64,1000,10,0
catboost,0.04658248,86,0.3635795452002472,0.849624060150376,Logloss,4,0.05,1.0,Logloss,0.4,64,1000,10,1
catboost,0.038396194,17,0.42607726868391005,0.8571428571428571,Logloss,10,0.05,1.0,Logloss,0.4,64,1000,10,0
catboost,0.026591874,17,0.40065460776208045,0.8571428571428571,Logloss,8,0.05,1.0,Logloss,0.6,64,1000,10,0
