model_type,train_time,best_nround,logloss,accuracy,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.371007215,296,0.35216337,0.8571428571428571,0,10,oblivious,logloss,11,0,1,0.05,1.0,128,1000,logloss,1.0,10
evotrees,0.119980046,163,0.3576665,0.849624060150376,0,1,oblivious,logloss,7,0,1,0.05,1.0,128,1000,logloss,0.8,10
evotrees,0.097682817,276,0.3703929,0.8646616541353384,0,10,oblivious,logloss,5,0,1,0.05,0.4,128,1000,logloss,0.8,10
evotrees,0.108981884,150,0.35761115,0.8646616541353384,0,1,oblivious,logloss,9,0,1,0.05,0.6,128,1000,logloss,1.0,10
evotrees,0.075728616,118,0.3566358,0.849624060150376,0,0,oblivious,logloss,7,0,1,0.05,0.6,128,1000,logloss,0.8,10
evotrees,0.114859347,208,0.36528283,0.849624060150376,0,10,oblivious,logloss,5,0,1,0.05,0.6,128,1000,logloss,1.0,10
evotrees,0.112971169,162,0.3588302,0.8571428571428571,0,1,oblivious,logloss,9,0,1,0.05,0.8,128,1000,logloss,0.6,10
evotrees,0.231411203,216,0.36147645,0.8571428571428571,0,10,oblivious,logloss,11,0,1,0.05,0.6,128,1000,logloss,0.8,10
evotrees,0.078553657,119,0.36958766,0.8571428571428571,0,1,oblivious,logloss,9,0,1,0.05,0.4,128,1000,logloss,0.8,10
evotrees,0.069048475,120,0.37619972,0.849624060150376,0,1,oblivious,logloss,9,0,1,0.05,0.6,128,1000,logloss,0.4,10
evotrees,0.081786287,149,0.36365548,0.8571428571428571,0,0,oblivious,logloss,5,0,1,0.05,0.4,128,1000,logloss,0.4,10
evotrees,0.296363004,335,0.36175606,0.8646616541353384,0,10,oblivious,logloss,11,0,1,0.05,1.0,128,1000,logloss,0.4,10
evotrees,0.323295109,209,0.36386365,0.849624060150376,0,10,oblivious,logloss,11,0,1,0.05,0.8,128,1000,logloss,0.6,10
evotrees,0.083450055,155,0.36480057,0.8721804511278195,0,1,oblivious,logloss,9,0,1,0.05,1.0,128,1000,logloss,0.4,10
evotrees,0.08893592,148,0.35924354,0.849624060150376,0,1,oblivious,logloss,5,0,1,0.05,1.0,128,1000,logloss,1.0,10
evotrees,0.120899627,163,0.3576665,0.849624060150376,0,1,oblivious,logloss,9,0,1,0.05,1.0,128,1000,logloss,0.8,10
