model_type,train_time,best_nround,logloss,accuracy,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,1.35775582,306,0.36273172,0.849624060150376,0,10,binary,logloss,11,0,1,0.05,1.0,128,1000,logloss,1.0,10
evotrees,0.226383074,100,0.3652434,0.8646616541353384,0,1,binary,logloss,7,0,1,0.05,1.0,128,1000,logloss,0.8,10
evotrees,0.202818855,249,0.39186954,0.849624060150376,0,10,binary,logloss,5,0,1,0.05,0.4,128,1000,logloss,0.8,10
evotrees,0.464449085,152,0.35575944,0.849624060150376,0,1,binary,logloss,9,0,1,0.05,0.6,128,1000,logloss,1.0,10
evotrees,0.322784877,121,0.348342,0.8721804511278195,0,0,binary,logloss,7,0,1,0.05,0.6,128,1000,logloss,0.8,10
evotrees,0.193873123,220,0.3768281,0.8571428571428571,0,10,binary,logloss,5,0,1,0.05,0.6,128,1000,logloss,1.0,10
evotrees,0.38125915,132,0.36009124,0.8571428571428571,0,1,binary,logloss,9,0,1,0.05,0.8,128,1000,logloss,0.6,10
evotrees,0.736498028,202,0.38903382,0.849624060150376,0,10,binary,logloss,11,0,1,0.05,0.6,128,1000,logloss,0.8,10
evotrees,0.346954231,166,0.35891995,0.8721804511278195,0,1,binary,logloss,9,0,1,0.05,0.4,128,1000,logloss,0.8,10
evotrees,0.662031885,236,0.35616803,0.8796992481203008,0,1,binary,logloss,9,0,1,0.05,0.6,128,1000,logloss,0.4,10
evotrees,0.139834841,134,0.39939594,0.849624060150376,0,0,binary,logloss,5,0,1,0.05,0.4,128,1000,logloss,0.4,10
evotrees,1.190586177,392,0.37493044,0.8421052631578947,0,10,binary,logloss,11,0,1,0.05,1.0,128,1000,logloss,0.4,10
evotrees,0.997558676,263,0.38153836,0.8421052631578947,0,10,binary,logloss,11,0,1,0.05,0.8,128,1000,logloss,0.6,10
evotrees,0.618691986,200,0.36049333,0.8646616541353384,0,1,binary,logloss,9,0,1,0.05,1.0,128,1000,logloss,0.4,10
evotrees,0.189156816,155,0.35839835,0.8571428571428571,0,1,binary,logloss,5,0,1,0.05,1.0,128,1000,logloss,1.0,10
evotrees,0.375232396,100,0.3612534,0.8571428571428571,0,1,binary,logloss,9,0,1,0.05,1.0,128,1000,logloss,0.8,10
