model_type,train_time,best_nround,logloss,accuracy,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.136043464,92,0.346068,0.8721804511278195,0,0,binary,logloss,7,0,1,0.05,0.4,128,1000,logloss,1.0,10
evotrees,0.357755026,162,0.36781502,0.8646616541353384,0,10,binary,logloss,11,0,1,0.05,0.4,128,1000,logloss,0.6,10
evotrees,0.290577748,56,0.36785954,0.8721804511278195,0,0,binary,logloss,11,0,1,0.05,0.6,128,1000,logloss,1.0,10
evotrees,0.316055156,72,0.3780058,0.8646616541353384,0,0,binary,logloss,9,0,1,0.05,0.8,128,1000,logloss,1.0,10
evotrees,0.236192209,76,0.35002974,0.8796992481203008,0,1,binary,logloss,11,0,1,0.05,0.6,128,1000,logloss,1.0,10
evotrees,0.190485935,191,0.3472857,0.8721804511278195,0,10,binary,logloss,7,0,1,0.05,0.8,128,1000,logloss,0.6,10
evotrees,0.082649854,161,0.3720868,0.8571428571428571,0,10,binary,logloss,5,0,1,0.05,0.4,128,1000,logloss,0.6,10
evotrees,0.176936274,81,0.3607114,0.8646616541353384,0,0,binary,logloss,9,0,1,0.05,0.6,128,1000,logloss,0.4,10
evotrees,0.298563495,90,0.34836116,0.8646616541353384,0,1,binary,logloss,11,0,1,0.05,0.8,128,1000,logloss,0.6,10
evotrees,0.085498703,71,0.36930317,0.8571428571428571,0,1,binary,logloss,7,0,1,0.05,1.0,128,1000,logloss,1.0,10
evotrees,0.376859393,58,0.3768321,0.849624060150376,0,1,binary,logloss,11,0,1,0.05,1.0,128,1000,logloss,1.0,10
evotrees,0.088225758,65,0.3561392,0.8571428571428571,0,0,binary,logloss,7,0,1,0.05,0.6,128,1000,logloss,0.8,10
evotrees,0.048802124,99,0.37230876,0.8571428571428571,0,0,binary,logloss,5,0,1,0.05,0.4,128,1000,logloss,0.4,10
evotrees,0.313692497,99,0.35265622,0.8646616541353384,0,1,binary,logloss,11,0,1,0.05,0.8,128,1000,logloss,0.8,10
evotrees,0.049277142,103,0.38081247,0.8646616541353384,0,0,binary,logloss,5,0,1,0.05,1.0,128,1000,logloss,0.4,10
evotrees,0.059734355,127,0.34073222,0.8721804511278195,0,1,binary,logloss,5,0,1,0.05,0.4,128,1000,logloss,0.6,10
