model_type,train_time,best_nround,logloss,accuracy,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,0.042152676,76,0.34206274,0.8571428571428571,0,1,binary,logloss,7,0,1,0.05,0.4,64,1000,logloss,1.0,10
evotrees,0.111491793,255,0.35437077,0.8721804511278195,0,10,binary,logloss,7,0,1,0.05,1.0,64,1000,logloss,0.4,10
evotrees,0.108299603,99,0.34474453,0.8721804511278195,0,1,binary,logloss,11,0,1,0.05,0.4,64,1000,logloss,0.8,10
evotrees,0.035589948,56,0.36545143,0.8721804511278195,0,0,binary,logloss,7,0,1,0.05,0.6,64,1000,logloss,1.0,10
evotrees,0.107348496,77,0.34664935,0.8646616541353384,0,1,binary,logloss,11,0,1,0.05,0.8,64,1000,logloss,1.0,10
evotrees,0.061420466,67,0.34628895,0.8796992481203008,0,0,binary,logloss,9,0,1,0.05,0.4,64,1000,logloss,1.0,10
evotrees,0.113506717,126,0.33619422,0.8721804511278195,0,1,binary,logloss,11,0,1,0.05,0.4,64,1000,logloss,0.6,10
evotrees,0.151808495,194,0.3463959,0.8721804511278195,0,10,binary,logloss,9,0,1,0.05,0.6,64,1000,logloss,1.0,10
evotrees,0.036521191,108,0.35067096,0.8721804511278195,0,0,binary,logloss,5,0,1,0.05,0.6,64,1000,logloss,0.6,10
evotrees,0.062520687,140,0.35252967,0.8721804511278195,0,10,binary,logloss,5,0,1,0.05,0.6,64,1000,logloss,1.0,10
evotrees,0.188852976,190,0.33713275,0.8646616541353384,0,10,binary,logloss,11,0,1,0.05,0.8,64,1000,logloss,1.0,10
evotrees,0.073405728,191,0.35336092,0.8721804511278195,0,10,binary,logloss,5,0,1,0.05,1.0,64,1000,logloss,0.6,10
evotrees,0.058587367,127,0.3409134,0.8721804511278195,0,1,binary,logloss,5,0,1,0.05,0.4,64,1000,logloss,0.6,10
evotrees,0.107896933,81,0.3454028,0.8571428571428571,0,1,binary,logloss,9,0,1,0.05,0.4,64,1000,logloss,0.8,10
evotrees,0.033868061,48,0.37379354,0.8571428571428571,0,0,binary,logloss,7,0,1,0.05,1.0,64,1000,logloss,1.0,10
evotrees,0.053497675,99,0.34088802,0.8571428571428571,0,1,binary,logloss,7,0,1,0.05,0.4,64,1000,logloss,0.8,10
