model_type,train_time,best_nround,logloss,accuracy,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,1.032402059,0,0.5775968170735104,0.8656716417910447,0.5,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,2048,128,0.9
lightgbm,0.598834701,0,0.5141223299188687,0.8432835820895522,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,1,128,128,0.6
lightgbm,0.615450401,0,0.3897012797630176,0.835820895522388,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,10,128,128,0.6
lightgbm,0.745726837,0,0.6478203774405356,0.8507462686567164,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,32,128,0.9
lightgbm,0.790227768,0,0.6478203774405356,0.8507462686567164,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,32,128,0.3
lightgbm,0.860647452,0,0.3897012797630176,0.835820895522388,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,10,2048,128,0.6
lightgbm,0.649750973,0,0.5141223299188687,0.8432835820895522,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,1,512,128,0.9
lightgbm,0.643237213,0,0.6478203774405356,0.8507462686567164,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,32,128,0.6
lightgbm,0.605955334,0,0.3897012797630176,0.835820895522388,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,10,128,128,0.9
lightgbm,0.615944238,0,0.5775968170735104,0.8656716417910447,0.5,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,128,128,0.9
lightgbm,0.697206011,0,0.5141223299188687,0.8432835820895522,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,1,128,128,0.9
lightgbm,0.721174244,0,0.6478203774405356,0.8507462686567164,0.9,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,0,128,128,0.6
lightgbm,0.818546158,0,0.39266850226260747,0.835820895522388,0.5,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,10,2048,128,0.9
lightgbm,0.553892979,0,0.39266850226260747,0.835820895522388,0.5,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,10,32,128,0.3
lightgbm,0.511717834,0,0.4760740358399889,0.835820895522388,0.5,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,1,128,128,0.6
lightgbm,0.62040971,0,0.4760740358399889,0.835820895522388,0.5,"[""logloss""]",-1,0.1,20,cross_entropy,1000,10,1,32,128,0.9
