model_type,train_time,best_nround,logloss,accuracy,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,0.119110613,422,0.35178515,0.8646616541353384,0,logloss,0.4,8,10,0.05,reg:logistic,hist,0.8,1000,10,64
xgboost,0.048718637,118,0.3445789,0.8571428571428571,0,logloss,0.8,10,1,0.05,reg:logistic,hist,0.6,1000,10,64
xgboost,0.055375344,188,0.3497383,0.8646616541353384,0,logloss,1.0,6,10,0.05,reg:logistic,hist,0.6,1000,10,64
xgboost,0.060370165,258,0.35174105,0.8646616541353384,0,logloss,0.6,4,10,0.05,reg:logistic,hist,1.0,1000,10,64
xgboost,0.025993799,103,0.35798502,0.8571428571428571,0,logloss,1.0,4,0,0.05,reg:logistic,hist,0.6,1000,10,64
xgboost,0.039082762,80,0.35712236,0.8646616541353384,0,logloss,1.0,10,1,0.05,reg:logistic,hist,0.8,1000,10,64
xgboost,0.057639088,189,0.35728228,0.849624060150376,0,logloss,0.4,10,1,0.05,reg:logistic,hist,0.4,1000,10,64
xgboost,0.041116925,109,0.34899744,0.8646616541353384,0,logloss,0.8,6,1,0.05,reg:logistic,hist,0.4,1000,10,64
xgboost,0.036952934,100,0.3536441,0.8571428571428571,0,logloss,1.0,6,10,0.05,reg:logistic,hist,1.0,1000,10,64
xgboost,0.056913614,189,0.36509752,0.8646616541353384,0,logloss,0.6,6,10,0.05,reg:logistic,hist,0.4,1000,10,64
xgboost,0.053705387,189,0.36517715,0.8571428571428571,0,logloss,0.6,4,10,0.05,reg:logistic,hist,0.8,1000,10,64
xgboost,0.063219985,189,0.3584139,0.8345864661654135,0,logloss,0.4,10,1,0.05,reg:logistic,hist,0.6,1000,10,64
xgboost,0.045398473,189,0.36650115,0.8571428571428571,0,logloss,0.4,4,1,0.05,reg:logistic,hist,0.6,1000,10,64
xgboost,0.050068288,98,0.35071197,0.8646616541353384,0,logloss,1.0,4,1,0.05,reg:logistic,hist,0.6,1000,10,64
xgboost,0.051773357,189,0.3657693,0.8571428571428571,0,logloss,0.6,10,10,0.05,reg:logistic,hist,0.4,1000,10,64
xgboost,0.044223089,162,0.35819864,0.849624060150376,0,logloss,0.4,6,0,0.05,reg:logistic,hist,0.6,1000,10,64
