model_type,hyper_id,train_time,best_nround,eval_logloss,test_logloss,eval_gini,test_gini
neurotrees,1,2.927210357,141,0.4401117,0.4037298,0.7221408450704226,0.7479091995221031
neurotrees,2,12.926773941,165,0.43768486,0.4049172,0.7293521126760565,0.7426523297491043
neurotrees,3,4.661037492,144,0.434657,0.38023016,0.7065915492957747,0.7808841099163683
neurotrees,4,4.304185842,133,0.43550518,0.37800547,0.7029859154929577,0.7794504181600959
neurotrees,5,4.244355733,201,0.43479985,0.38121822,0.7140281690140845,0.7796893667861412
neurotrees,6,5.688808842,97,0.43166915,0.38351378,0.7160563380281691,0.7761051373954602
neurotrees,7,5.200818776,115,0.4489676,0.40108243,0.7092957746478874,0.7608124253285546
neurotrees,8,5.158411677,110,0.4307386,0.38310036,0.7187605633802817,0.7763440860215056
neurotrees,9,4.707747434,141,0.44326246,0.39462095,0.6975774647887324,0.7555555555555556
neurotrees,10,4.719790556,152,0.43106726,0.3813422,0.7277746478873239,0.7763440860215056
neurotrees,11,4.701190406,136,0.44151753,0.40025494,0.7041126760563382,0.7598566308243728
neurotrees,12,3.747399543,50,0.4665427,0.43954626,0.6966760563380283,0.7063321385902034
neurotrees,13,4.817155291,109,0.4313389,0.39090505,0.7221408450704226,0.7591397849462369
neurotrees,14,4.654263561,141,0.44317806,0.4103531,0.7280000000000001,0.7333333333333336
neurotrees,15,3.754991868,168,0.44177204,0.39258748,0.7011830985915494,0.7646356033452809
neurotrees,16,4.383370781,63,0.44570947,0.4027767,0.7061408450704226,0.7488649940262845
