model_type,train_time,best_nround,mse,ndcg,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,113.735751726,1269,0.5620400089116458,0.7933344738672782,RMSE,8,0.1,0.9,RMSE,0.6,5000,10,1
catboost,68.3911499,1428,0.5677764500164271,0.7904780673747932,RMSE,6,0.1,0.5,RMSE,0.6,5000,10,10
catboost,68.220425384,1462,0.5769370401861644,0.7879356636868964,RMSE,4,0.1,0.9,RMSE,0.9,5000,10,0
catboost,75.786712788,950,0.5654645193651047,0.7918366623673553,RMSE,8,0.1,0.5,RMSE,0.6,5000,10,1
catboost,44.071354682,1399,0.578760776439398,0.786809486377313,RMSE,4,0.1,0.5,RMSE,0.6,5000,10,1
catboost,171.372347344,899,0.5585402050194178,0.7943450168370265,RMSE,10,0.1,0.5,RMSE,0.9,5000,10,10
catboost,63.738696937,1475,0.570512824609949,0.7904622407951395,RMSE,6,0.1,0.9,RMSE,0.3,5000,10,0
catboost,115.273723046,575,0.5648460658291661,0.7931686956243317,RMSE,10,0.1,0.9,RMSE,0.6,5000,10,10
catboost,55.768265189,873,0.5726969318977797,0.7896121795016148,RMSE,6,0.1,0.5,RMSE,0.9,5000,10,0
catboost,33.673715463,901,0.5762586422188898,0.7879220094935668,RMSE,6,0.1,0.5,RMSE,0.3,5000,10,10
catboost,99.332311013,1493,0.5668622633371276,0.7916082283172973,RMSE,6,0.1,0.9,RMSE,0.9,5000,10,10
catboost,64.463547353,624,0.5663184088420908,0.7907257324546517,RMSE,10,0.1,0.5,RMSE,0.3,5000,10,0
catboost,92.125978012,1176,0.5658771942661766,0.7921173452242396,RMSE,8,0.1,0.9,RMSE,0.3,5000,10,10
catboost,80.392681184,1003,0.565049392719986,0.7908841491191064,RMSE,8,0.1,0.5,RMSE,0.6,5000,10,0
catboost,96.577733525,914,0.5638888401654619,0.7924788921147264,RMSE,8,0.1,0.9,RMSE,0.9,5000,10,10
catboost,73.174668837,1164,0.5692725079235812,0.790539590065454,RMSE,6,0.1,0.5,RMSE,0.9,5000,10,10
