model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,110.030354718,1065,0.5639953541338364,0.792485887679457,0,10,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.4,10
evotrees,535.789226922,889,0.5447528955552025,0.7971182064964398,0,10,binary,mse,11,0,1,0.05,0.8,128,5000,mse,0.6,10
evotrees,199.326945373,625,0.558206398643929,0.7936025316778601,0,0,binary,mse,9,0,1,0.05,0.6,128,5000,mse,0.8,10
evotrees,304.045413566,1103,0.5526934759403972,0.7952183709023304,0,0,binary,mse,9,0,1,0.05,0.8,128,5000,mse,0.6,10
evotrees,504.780997477,721,0.5475232935041733,0.7963417185181291,0,1,binary,mse,11,0,1,0.05,0.8,128,5000,mse,0.8,10
evotrees,96.556393185,1168,0.5654056655967173,0.7911097948963371,0,1,binary,mse,7,0,1,0.05,0.4,128,5000,mse,0.4,10
evotrees,473.901560228,981,0.5441160317191227,0.7984249153471589,0,10,binary,mse,11,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,291.677300274,598,0.5496329061431519,0.7961053358611443,0,0,binary,mse,11,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,226.231458935,532,0.5567618521666654,0.793257712672941,0,10,binary,mse,11,0,1,0.05,0.4,128,5000,mse,0.4,10
evotrees,415.991975779,993,0.5522072695221186,0.7954639104859206,0,10,binary,mse,9,0,1,0.05,0.8,128,5000,mse,1.0,10
evotrees,183.922832293,1187,0.5627633331300607,0.7930503044826694,0,0,binary,mse,7,0,1,0.05,0.8,128,5000,mse,0.6,10
evotrees,398.848017835,631,0.5485710086138507,0.7961620718836977,0,0,binary,mse,11,0,1,0.05,1.0,128,5000,mse,0.6,10
evotrees,191.959352556,1243,0.5620459617733867,0.7938080839301735,0,1,binary,mse,7,0,1,0.05,0.8,128,5000,mse,0.6,10
evotrees,261.690834208,1445,0.5758734560630409,0.7885873828947038,0,10,binary,mse,5,0,1,0.05,1.0,128,5000,mse,1.0,10
evotrees,133.96846868,980,0.5643623239857706,0.7918750344277419,0,1,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,114.209466873,1423,0.575675290245585,0.7876271214043277,0,10,binary,mse,5,0,1,0.05,0.4,128,5000,mse,0.8,10
