model_type,train_time,best_nround,mse,ndcg,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,55.947751099,600,0.5585591732577586,0.7940048916055751,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,128,0.3
lightgbm,129.242114299,741,0.5440931480681904,0.7981995896929758,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,512,128,0.3
lightgbm,80.357686936,1060,0.5687518403281703,0.7903814835762406,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,128,0.3
lightgbm,89.116685915,501,0.5477286000512719,0.7983377803419145,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.9
lightgbm,80.741103022,801,0.556231321880858,0.7947375614168124,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,128,0.6
lightgbm,89.204673617,1203,0.5519894480946663,0.796231371028833,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,128,0.9
lightgbm,64.670772945,609,0.5584286853835508,0.7958614183553397,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,128,0.3
lightgbm,168.169893934,335,0.5427559109646379,0.7966718919858444,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,1,2048,128,0.9
lightgbm,95.44727558,1309,0.5663914161075019,0.7913884216481233,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,32,128,0.9
lightgbm,80.202228845,1120,0.5540970826706283,0.7953128202144182,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,128,128,0.9
lightgbm,69.955775102,1667,0.5641502317806091,0.7920251114217347,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,128,0.3
lightgbm,68.842547271,1667,0.5641502317806106,0.7920251114217347,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,128,0.9
lightgbm,63.891573422,609,0.5584286853835508,0.7958614183553397,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,128,0.9
lightgbm,89.146860915,501,0.5477286000512719,0.7983377803419145,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.3
lightgbm,52.527839027,1089,0.5678255578894019,0.7910499449036003,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,32,128,0.6
lightgbm,83.882776147,492,0.547099145374999,0.7981667353717207,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.6
