model_type,train_time,best_nround,mse,ndcg,stack_size,ntrees,tree_type,metric,batchsize,nrounds,hidden_size,wd,loss,device,early_stopping_rounds,lr,depth
neurotrees,401.667320222,51,0.5784265371628995,0.7829987989830127,1,64,stack,mse,2048,200,32,0.0,mse,gpu,2,0.0003,4
neurotrees,210.525526569,10,0.5976387531638219,0.779956586801085,2,64,stack,mse,2048,200,24,0.0,mse,gpu,2,0.0003,5
neurotrees,213.542350228,12,0.5937452755076672,0.7822260783230466,2,128,stack,mse,2048,200,16,0.0,mse,gpu,2,0.0003,4
neurotrees,250.242167719,11,0.6058338642892278,0.7780918909248568,2,64,stack,mse,2048,200,32,0.0,mse,gpu,2,0.0003,5
neurotrees,160.703265831,12,0.6006982119057958,0.7796637750583251,2,64,stack,mse,2048,200,24,0.0,mse,gpu,2,0.0003,4
neurotrees,628.345791773,57,0.5696759918785582,0.7870348867796031,1,256,stack,mse,2048,200,16,0.0,mse,gpu,2,0.0003,4
neurotrees,348.213649589,47,0.5769191486544396,0.7850476301495476,1,128,stack,mse,2048,200,32,0.0,mse,gpu,2,0.0003,3
neurotrees,362.588744061,49,0.5768415601059776,0.7851205790625471,1,128,stack,mse,2048,200,8,0.0,mse,gpu,2,0.0003,3
neurotrees,159.984337832,13,0.5957162269895891,0.779938455584358,2,128,stack,mse,2048,200,24,0.0,mse,gpu,2,0.0003,3
neurotrees,297.148515676,42,0.5807133931696986,0.7830554959522805,1,64,stack,mse,2048,200,16,0.0,mse,gpu,2,0.0003,3
neurotrees,278.594274607,35,0.5815159171292132,0.7845440906695768,1,64,stack,mse,2048,200,8,0.0,mse,gpu,2,0.0003,4
neurotrees,545.768943806,49,0.5714422449531071,0.7869348702615973,1,256,stack,mse,2048,200,32,0.0,mse,gpu,2,0.0003,4
neurotrees,184.507997153,12,0.6018508325627828,0.7784523033450952,2,64,stack,mse,2048,200,32,0.0,mse,gpu,2,0.0003,4
neurotrees,208.366692253,12,0.5939956124043647,0.7790240616429126,2,64,stack,mse,2048,200,8,0.0,mse,gpu,2,0.0003,5
neurotrees,336.118944974,11,0.5957584741559283,0.7803268719526497,2,128,stack,mse,2048,200,16,0.0,mse,gpu,2,0.0003,5
neurotrees,210.496010343,18,0.5900819845979993,0.7798965210155234,2,256,stack,mse,2048,200,8,0.0,mse,gpu,2,0.0003,3
