model_type,train_time,best_nround,mse,ndcg,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,186.589876723,2270,0.5793750453023463,0.7917949879853142,RMSE,8,0.05,0.9,RMSE,0.6,5000,10,1
catboost,129.444103586,1190,0.5805843971700565,0.7897376789212848,RMSE,10,0.05,0.5,RMSE,0.6,5000,10,1
catboost,114.758517497,1746,0.5915446699192609,0.7864060195329197,RMSE,6,0.05,0.9,RMSE,0.9,5000,10,0
catboost,184.237048146,1487,0.5801608396599044,0.7903215612618903,RMSE,10,0.05,0.9,RMSE,0.3,5000,10,0
catboost,195.709742661,1777,0.5769802175661964,0.7929400575593467,RMSE,10,0.05,0.5,RMSE,0.6,5000,10,10
catboost,107.570775656,2035,0.585375037226718,0.789280598140636,RMSE,8,0.05,0.5,RMSE,0.3,5000,10,10
catboost,94.564892766,2653,0.5990191816295746,0.7836653426926431,RMSE,4,0.05,0.9,RMSE,0.6,5000,10,10
catboost,118.991176158,1433,0.5861146844620198,0.7885925405319839,RMSE,8,0.05,0.9,RMSE,0.6,5000,10,0
catboost,113.427414659,2451,0.5998047937256329,0.783086730633167,RMSE,4,0.05,0.9,RMSE,0.9,5000,10,10
catboost,127.73567288,1802,0.5855313938879109,0.7895062933610151,RMSE,8,0.05,0.9,RMSE,0.3,5000,10,1
catboost,126.101103317,3181,0.5960628152972258,0.785609801246502,RMSE,4,0.05,0.5,RMSE,0.9,5000,10,10
catboost,130.700966749,2002,0.5907220881172406,0.7871612919471015,RMSE,6,0.05,0.9,RMSE,0.9,5000,10,10
catboost,459.781885077,1920,0.5741428259435218,0.7925327455542808,RMSE,10,0.05,0.9,RMSE,0.9,5000,10,10
catboost,171.981329369,1751,0.5825489815274846,0.7904687105218158,RMSE,8,0.05,0.9,RMSE,0.9,5000,10,1
catboost,399.548882699,1672,0.5750594284217938,0.7929290572279444,RMSE,10,0.05,0.9,RMSE,0.9,5000,10,1
catboost,117.327492449,1344,0.5855563567968368,0.7884803667784696,RMSE,8,0.05,0.5,RMSE,0.9,5000,10,0
