model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,84.535241596,1352,0.5817956771677458,0.7890396519886462,0,10,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.4,10
evotrees,485.096369174,1046,0.5637351092079095,0.7943474040673164,0,0,binary,mse,11,0,1,0.05,1.0,128,5000,mse,0.6,10
evotrees,308.766007825,697,0.5702505019014898,0.7929625022861385,0,10,binary,mse,11,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,52.207491674,1856,0.5936146018177761,0.7857811505512394,0,1,binary,mse,5,0,1,0.05,0.4,128,5000,mse,0.4,10
evotrees,211.327426698,834,0.5746354704421853,0.7923851357668916,0,1,binary,mse,9,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,138.480116442,1658,0.5934889837716667,0.7855791012887642,0,10,binary,mse,5,0,1,0.05,0.8,128,5000,mse,1.0,10
evotrees,48.14996924,1703,0.5943676376152277,0.7872589784187503,0,10,binary,mse,5,0,1,0.05,0.4,128,5000,mse,0.4,10
evotrees,247.996715537,829,0.5752736813613363,0.7916641505036401,0,10,binary,mse,9,0,1,0.05,1.0,128,5000,mse,1.0,10
evotrees,444.394321107,764,0.5696782515423948,0.7925627665468766,0,10,binary,mse,11,0,1,0.05,0.6,128,5000,mse,1.0,10
evotrees,268.447796,1091,0.571765041770662,0.7915640158966513,0,0,binary,mse,9,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,133.642413198,826,0.575097969558944,0.791156608148431,0,0,binary,mse,9,0,1,0.05,1.0,128,5000,mse,0.4,10
evotrees,211.741675538,836,0.5770266080435452,0.7910478083614481,0,1,binary,mse,9,0,1,0.05,0.6,128,5000,mse,1.0,10
evotrees,166.018808278,1716,0.5940245750828955,0.7852903832641904,0,1,binary,mse,5,0,1,0.05,1.0,128,5000,mse,1.0,10
evotrees,91.318982544,1589,0.5943267710013301,0.7852206478924707,0,1,binary,mse,5,0,1,0.05,0.4,128,5000,mse,1.0,10
evotrees,235.907171866,1202,0.570879575369513,0.7927233314712788,0,10,binary,mse,9,0,1,0.05,0.8,128,5000,mse,0.6,10
evotrees,188.017723867,1331,0.5804060210942237,0.7913132196061582,0,1,binary,mse,7,0,1,0.05,0.8,128,5000,mse,1.0,10
