model_type,train_time,best_nround,mse,ndcg,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,173.265593574,430,0.5645176561152407,0.7939877477123827,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,2048,128,0.9
lightgbm,80.945575987,559,0.5695528477586043,0.794486956443772,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.9
lightgbm,148.676601058,967,0.5662569139826146,0.7940913177401382,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,10,512,128,0.6
lightgbm,170.128476104,400,0.5638841598647298,0.7921005817521855,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,2048,128,0.9
lightgbm,86.938294515,548,0.5697762846692273,0.7923089252401315,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.6
lightgbm,96.683041805,1127,0.5754996698868126,0.7924706154106127,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,128,0.6
lightgbm,58.77094996,1127,0.5754996698868126,0.7924706154106127,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,128,0.9
lightgbm,171.522061782,400,0.5638841598647298,0.7921005817521855,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,2048,128,0.6
lightgbm,79.109856183,1173,0.5741312846798667,0.7920095675266485,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,128,0.9
lightgbm,34.270761579,611,0.5959764338608399,0.7828190444055674,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,1,32,128,0.6
lightgbm,220.558126112,567,0.563717474269409,0.7928255800482653,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,2048,128,0.6
lightgbm,68.413051187,980,0.576092301875638,0.7916649331906197,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,128,128,0.3
lightgbm,45.163638482,948,0.5906403838975376,0.7845168437496022,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,128,0.3
lightgbm,46.162903553,948,0.5906403838975377,0.7845168437496022,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,128,0.6
lightgbm,55.130610247,624,0.5805672103131467,0.7896462556239585,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,128,0.9
lightgbm,79.65948801,1185,0.5883978948486658,0.7875678148039358,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,32,128,0.9
