model_type,train_time,best_nround,mse,ndcg,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,62.865030836,1395,0.5964621184518835,0.7838388656077591,0,rmse,0.4,4,10,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,76.410112742,1140,0.572211471729239,0.7930830392393976,0,rmse,0.4,8,10,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,68.676281288,1077,0.5726059353751469,0.7927999494304688,0,rmse,0.6,8,10,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,45.703589681,685,0.5829080501600685,0.7896756628571932,0,rmse,0.4,8,0,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,47.711858578,699,0.5827588158564474,0.7889416719365145,0,rmse,0.4,8,10,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,81.034314327,1340,0.570580370535533,0.7954282638984276,0,rmse,0.4,8,0,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,59.23662941,1402,0.5958390804832165,0.7848185878994719,0,rmse,1.0,4,1,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,85.544518763,840,0.5677748981186259,0.7940148494767828,0,rmse,0.8,10,1,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,81.839498679,1629,0.5787629385652774,0.7913124049469286,0,rmse,0.8,6,10,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,76.34157827,1080,0.5713968479783874,0.7923581826605188,0,rmse,1.0,8,1,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,58.529331321,1184,0.5827435570374705,0.7893073421120044,0,rmse,1.0,6,0,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,103.200969275,896,0.5685015837241336,0.7922657199633244,0,rmse,1.0,10,10,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,77.351954321,1489,0.5796233763112051,0.7912735331627506,0,rmse,0.6,6,10,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,60.201035786,562,0.5740236519667666,0.7895856542015995,0,rmse,0.6,10,0,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,70.392721843,1083,0.5719342074959382,0.7948955435817335,0,rmse,0.6,8,1,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,47.385781972,921,0.588277966745776,0.7849953424922063,0,rmse,0.4,6,0,0.05,reg:squarederror,hist,0.4,5000,10,128
