model_type,train_time,best_nround,mse,ndcg,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,104.626209307,1788,0.5926447982639581,0.7848028756286316,RMSE,6,0.05,0.9,RMSE,0.6,5000,10,10
catboost,78.066744952,2462,0.6011494319295709,0.783014006963612,RMSE,4,0.05,0.5,RMSE,0.6,5000,10,1
catboost,181.31826639,1794,0.5831968480794356,0.7894814084762578,RMSE,8,0.05,0.5,RMSE,0.9,5000,10,0
catboost,87.174711989,1740,0.6053244018043467,0.7816408625987019,RMSE,4,0.05,0.9,RMSE,0.9,5000,10,10
catboost,603.055299201,2075,0.5758705738553663,0.7914395535322433,RMSE,10,0.05,0.9,RMSE,0.9,5000,10,10
catboost,271.011976969,2286,0.5815328382326607,0.7906025178885018,RMSE,8,0.05,0.9,RMSE,0.9,5000,10,10
catboost,189.494769034,1240,0.5808212502980831,0.789935093203388,RMSE,10,0.05,0.5,RMSE,0.6,5000,10,0
catboost,110.711527449,1885,0.5920452010447689,0.7857552742437517,RMSE,6,0.05,0.9,RMSE,0.6,5000,10,1
catboost,235.284340983,2622,0.582981449860193,0.7896348947201571,RMSE,8,0.05,0.9,RMSE,0.3,5000,10,10
catboost,455.05542303,2875,0.5736317569319663,0.7921622817644175,RMSE,10,0.05,0.9,RMSE,0.3,5000,10,10
catboost,226.112271596,1147,0.5817334072389366,0.7906209185047063,RMSE,10,0.05,0.5,RMSE,0.9,5000,10,0
catboost,80.8175092,2122,0.5938281118319739,0.7865568809190275,RMSE,6,0.05,0.5,RMSE,0.3,5000,10,0
catboost,177.952315419,2705,0.5879583635687426,0.7875254600906124,RMSE,6,0.05,0.5,RMSE,0.9,5000,10,10
catboost,61.787498436,2686,0.6019579365598895,0.7826286535508671,RMSE,4,0.05,0.5,RMSE,0.3,5000,10,10
catboost,112.059348071,2352,0.5920589496378805,0.7859361091057272,RMSE,6,0.05,0.9,RMSE,0.3,5000,10,1
catboost,491.089328191,1684,0.5756976614745928,0.7915825520725568,RMSE,10,0.05,0.9,RMSE,0.9,5000,10,0
