model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,252.7297833,1414,0.5815907402792219,0.788109862630558,0,0,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.8,10
evotrees,154.319641174,1068,0.5866694510137308,0.7876035383509449,0,1,binary,mse,7,0,1,0.05,0.4,128,5000,mse,0.8,10
evotrees,278.789634934,1305,0.5822862261404956,0.7887550309604262,0,1,binary,mse,7,0,1,0.05,0.6,128,5000,mse,1.0,10
evotrees,273.570286532,1765,0.5930831016666517,0.7850809407637985,0,1,binary,mse,5,0,1,0.05,0.8,128,5000,mse,1.0,10
evotrees,300.027397566,1218,0.5834701161157396,0.7896424788978691,0,1,binary,mse,7,0,1,0.05,0.8,128,5000,mse,1.0,10
evotrees,249.960220066,1388,0.5819653639095909,0.7889047192735984,0,10,binary,mse,7,0,1,0.05,1.0,128,5000,mse,0.6,10
evotrees,180.890898046,1408,0.596422004336837,0.7836121544107829,0,10,binary,mse,5,0,1,0.05,0.6,128,5000,mse,1.0,10
evotrees,183.771753795,1586,0.5956700569204675,0.7828850658171671,0,10,binary,mse,5,0,1,0.05,1.0,128,5000,mse,0.6,10
evotrees,337.070370553,1120,0.5724529915217215,0.7915588804202257,0,10,binary,mse,9,0,1,0.05,0.8,128,5000,mse,0.6,10
evotrees,215.647455946,1547,0.5807788504637288,0.7887139849094756,0,1,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,273.057951909,513,0.5783732515457184,0.7887517486704746,0,10,binary,mse,11,0,1,0.05,0.4,128,5000,mse,0.6,10
evotrees,80.067439918,1353,0.598068942641306,0.7839499703494158,0,10,binary,mse,5,0,1,0.05,0.6,128,5000,mse,0.4,10
evotrees,162.223056621,1627,0.5938857683719508,0.7849662798071314,0,10,binary,mse,5,0,1,0.05,0.8,128,5000,mse,0.6,10
evotrees,271.77949005,1727,0.5935686128328824,0.7852241558257936,0,10,binary,mse,5,0,1,0.05,0.8,128,5000,mse,1.0,10
evotrees,356.015900264,615,0.5744004954541547,0.7916110672231966,0,0,binary,mse,11,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,55.659323197,1181,0.6006680645098187,0.7828800472805073,0,0,binary,mse,5,0,1,0.05,0.4,128,5000,mse,0.4,10
