model_type,train_time,best_nround,mse,ndcg,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,77.090261556,814,0.5935245157288727,0.7839301015764605,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,128,0.6
lightgbm,127.715833305,817,0.5677758322791572,0.7951151782187381,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.6
lightgbm,73.112474342,1312,0.5879997346883566,0.7858544985998022,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,1,32,128,0.6
lightgbm,71.082991738,745,0.5791918623308888,0.789701582548525,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,128,0.6
lightgbm,64.972414475,1140,0.5898756682232228,0.7849356205751236,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,128,0.3
lightgbm,115.716918578,651,0.5694893687128485,0.7936116466030885,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.9
lightgbm,71.171989544,745,0.5791918623308888,0.789701582548525,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,128,0.9
lightgbm,184.764560713,388,0.5642698749250745,0.7937158939305365,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,10,2048,128,0.9
lightgbm,165.625714753,314,0.5656707091106191,0.7935681765758742,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,2048,128,0.6
lightgbm,115.547664542,651,0.5694893687128485,0.7936116466030885,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.3
lightgbm,133.753733913,817,0.5677758322791572,0.7951151782187381,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.9
lightgbm,172.288486276,391,0.5650104792586712,0.7932447854029224,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,2048,128,0.9
lightgbm,126.778131287,817,0.5677758322791572,0.7951151782187381,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.3
lightgbm,197.836517031,398,0.5658051888689328,0.790833179582151,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,2048,128,0.3
lightgbm,56.855180282,648,0.579869139751826,0.7898771168046665,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,128,0.6
lightgbm,172.984050835,391,0.5650104792586712,0.7932447854029224,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,2048,128,0.3
