model_type,train_time,best_nround,mse,ndcg,stack_size,ntrees,metric,batchsize,nrounds,hidden_size,wd,actA,loss,init_scale,device,early_stopping_rounds,hyper_id,lr,depth
neurotrees,250.323441833,24,0.5912307306766851,0.7845958384959258,1,128,mse,2048,200,16,0.0,identity,mse,1,gpu,3,1,0.0003,5
neurotrees,84.931035869,35,0.5922953282048976,0.7832169855311826,1,128,mse,2048,200,16,0.0,identity,mse,1,gpu,3,2,0.0003,3
neurotrees,51.808893357,25,0.5965046570655547,0.7830980088500852,1,64,mse,2048,200,16,0.0,identity,mse,1,gpu,3,3,0.0003,3
neurotrees,260.396661639,33,0.5886096434417993,0.7851474394053927,1,256,mse,2048,200,64,0.0,identity,mse,1,gpu,3,4,0.0003,4
neurotrees,76.277196015,24,0.5945966981084223,0.7820230620519395,1,64,mse,2048,200,32,0.0,identity,mse,1,gpu,3,5,0.0003,4
neurotrees,59.811441438,29,0.597566977441886,0.7822375004558533,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,3,6,0.0003,3
neurotrees,130.865862738,27,0.5924478860115967,0.7846378569635084,1,128,mse,2048,200,32,0.0,identity,mse,1,gpu,3,7,0.0003,4
neurotrees,64.853871075,32,0.5957409698234252,0.7826089505210001,1,64,mse,2048,200,32,0.0,identity,mse,1,gpu,3,8,0.0003,3
neurotrees,311.377499462,39,0.5885112700412567,0.7856367421364571,1,256,mse,2048,200,16,0.0,identity,mse,1,gpu,3,9,0.0003,4
neurotrees,127.788655413,37,0.5896153140639112,0.7865248098532923,1,256,mse,2048,200,32,0.0,identity,mse,1,gpu,3,10,0.0003,3
neurotrees,137.577866447,22,0.5925813295607342,0.782272575424331,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,3,11,0.0003,5
neurotrees,88.901259954,29,0.5941110614844047,0.7810313076498854,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,3,12,0.0003,4
neurotrees,288.679656735,26,0.5900749780610801,0.7832653683542936,1,128,mse,2048,200,32,0.0,identity,mse,1,gpu,3,13,0.0003,5
neurotrees,630.565692512,32,0.5881487973023808,0.7857368082160322,1,256,mse,2048,200,64,0.0,identity,mse,1,gpu,3,14,0.0003,5
neurotrees,516.172555397,26,0.5895666235712448,0.7846498790653677,1,256,mse,2048,200,32,0.0,identity,mse,1,gpu,3,15,0.0003,5
neurotrees,289.137514398,26,0.5909818771511905,0.7843781580816036,1,128,mse,2048,200,64,0.0,identity,mse,1,gpu,3,16,0.0003,5
