model_type,train_time,best_nround,mse,ndcg,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,124.581434238,1440,0.5807072455074044,0.7898052719692887,0,rmse,0.4,6,10,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,87.794650468,985,0.5860079271260629,0.788206152237399,0,rmse,0.6,6,0,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,87.560427571,529,0.574230929267633,0.7906804776127283,0,rmse,1.0,10,10,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,99.844787317,1147,0.583878193293159,0.787559704122581,0,rmse,1.0,6,0,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,107.961905318,1233,0.5830821381221778,0.787239574508485,0,rmse,0.8,6,1,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,111.322309789,1464,0.5967304354288252,0.784118045033803,0,rmse,0.8,4,10,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,91.948202078,566,0.5726624980476085,0.7900090680512236,0,rmse,1.0,10,0,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,88.530110949,727,0.5774563948659995,0.7906252095743248,0,rmse,0.8,8,1,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,95.312533764,636,0.5711214663816218,0.793092230005219,0,rmse,0.4,10,10,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,90.618138773,804,0.5791749392201326,0.7895010662027574,0,rmse,1.0,8,0,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,81.451126754,914,0.587278356342438,0.7876145586334669,0,rmse,0.8,6,0,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,83.297026552,672,0.5820340890279648,0.7879654883382824,0,rmse,0.6,8,10,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,111.98336075,986,0.5742877134559525,0.7918873363001259,0,rmse,0.8,8,0,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,115.63608568,801,0.568176773657736,0.7932688036216945,0,rmse,0.4,10,1,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,104.157795521,1006,0.5746911714038834,0.7902388589311514,0,rmse,0.4,8,0,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,81.22078617,995,0.6032100909753465,0.7814184845547989,0,rmse,0.4,4,1,0.05,reg:squarederror,hist,0.4,5000,10,128
