model_type,train_time,best_nround,mse,ndcg,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,87.131454611,986,0.5668996700218953,0.7913682714382493,0,rmse,0.4,6,10,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,74.938469789,857,0.5682005345325305,0.791310329315805,0,rmse,0.8,6,10,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,98.514719769,954,0.553044349023231,0.7967089376842404,0,rmse,0.4,8,10,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,137.347659682,895,0.5456274813153659,0.7967079245423695,0,rmse,1.0,10,10,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,80.385836182,533,0.5556924533791571,0.795115511590687,0,rmse,0.6,10,10,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,97.715104462,658,0.5477347380702577,0.7972594233755937,0,rmse,0.6,10,1,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,107.069807583,1018,0.55522790307805,0.7937907071949399,0,rmse,0.6,8,0,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,141.882008644,2022,0.5716269594640856,0.7894160039420719,0,rmse,0.8,4,1,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,73.551084393,854,0.5662032326879101,0.7916218171354454,0,rmse,0.8,6,1,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,122.662680312,829,0.5453927458804957,0.798584427595701,0,rmse,0.4,10,10,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,92.716734746,845,0.5550658747649976,0.7946684199356857,0,rmse,0.6,8,0,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,60.786854828,670,0.5689755042291417,0.790301269980937,0,rmse,0.6,6,1,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,85.987180543,939,0.5658600446488553,0.7914649922604808,0,rmse,0.6,6,0,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,99.273280443,857,0.553886865748154,0.7953684422466486,0,rmse,1.0,8,1,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,137.051738788,1294,0.5498127325708965,0.7971743956446069,0,rmse,0.8,8,10,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,87.993194495,804,0.5563714137590425,0.794345075822391,0,rmse,1.0,8,0,0.05,reg:squarederror,hist,0.6,5000,10,128
