model_type,train_time,best_nround,mse,ndcg,stack_size,ntrees,tree_type,metric,batchsize,nrounds,hidden_size,wd,actA,loss,init_scale,device,early_stopping_rounds,lr,depth
neurotrees,429.631931461,33,0.5750534610017074,0.7851478234442456,1,256,stack,mse,1024,200,64,0.0,tanh,mse,1.0,gpu,2,0.0003,4
neurotrees,267.119510689,32,0.585097624591549,0.7800917118931183,1,64,stack,mse,1024,200,64,0.0,tanh,mse,0.1,gpu,2,0.0003,3
neurotrees,256.594525574,28,0.5835523483238778,0.7824232597607444,1,64,stack,mse,1024,200,32,0.0,identity,mse,0.1,gpu,2,0.0003,4
neurotrees,266.194217797,32,0.5838515736411903,0.7820267579148348,1,64,stack,mse,1024,200,16,0.0,identity,mse,0.1,gpu,2,0.0003,3
neurotrees,330.186338033,39,0.5789492226655978,0.7836844459777746,1,128,stack,mse,1024,200,64,0.0,identity,mse,0.1,gpu,2,0.0003,3
neurotrees,316.393618081,31,0.5786584291601096,0.7840911763451698,1,128,stack,mse,1024,200,32,0.0,tanh,mse,0.1,gpu,2,0.0003,4
neurotrees,402.143120201,27,0.5781049581483425,0.78427193479864,1,128,stack,mse,1024,200,16,0.0,identity,mse,0.1,gpu,2,0.0003,5
neurotrees,393.81101054,31,0.5753510523592429,0.7848439043089781,1,256,stack,mse,1024,200,16,0.0,tanh,mse,1.0,gpu,2,0.0003,4
neurotrees,279.623574203,25,0.5814100041363525,0.7818237689823793,1,64,stack,mse,1024,200,64,0.0,tanh,mse,1.0,gpu,2,0.0003,5
neurotrees,270.462287497,30,0.5828507355868449,0.7813110990807649,1,64,stack,mse,1024,200,32,0.0,tanh,mse,0.1,gpu,2,0.0003,4
neurotrees,258.061612938,30,0.5810491311562997,0.7829072193157625,1,128,stack,mse,1024,200,32,0.0,tanh,mse,0.1,gpu,2,0.0003,3
neurotrees,682.707798018,32,0.5747584365507327,0.7851680675717522,1,256,stack,mse,1024,200,32,0.0,tanh,mse,0.1,gpu,2,0.0003,5
neurotrees,270.326868199,33,0.5837459588015993,0.7810077374844213,1,64,stack,mse,1024,200,16,0.0,identity,mse,1.0,gpu,2,0.0003,3
neurotrees,441.541368638,35,0.5757604951630628,0.7857058779472635,1,256,stack,mse,1024,200,16,0.0,tanh,mse,0.1,gpu,2,0.0003,4
neurotrees,485.588287382,39,0.5750429316984974,0.7856781702684221,1,256,stack,mse,1024,200,32,0.0,identity,mse,0.1,gpu,2,0.0003,4
neurotrees,757.830341171,36,0.5741764931292582,0.785932355026087,1,256,stack,mse,1024,200,64,0.0,tanh,mse,0.1,gpu,2,0.0003,5
