model_type,train_time,best_nround,mse,ndcg,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,569.567030324,2171,0.5540717965638842,0.7970547316447448,RMSE,10,0.05,0.9,RMSE,0.6,5000,10,10
catboost,359.680679891,1376,0.5573300195405316,0.7959622448176533,RMSE,10,0.05,0.9,RMSE,0.6,5000,10,0
catboost,251.851017391,1527,0.5610042332705332,0.794149767766204,RMSE,10,0.05,0.9,RMSE,0.3,5000,10,10
catboost,121.177590387,1676,0.5716167319779245,0.7911634534702289,RMSE,6,0.05,0.9,RMSE,0.6,5000,10,0
catboost,107.4277857,2072,0.5723897503919548,0.7904152891615139,RMSE,6,0.05,0.9,RMSE,0.3,5000,10,10
catboost,144.388600256,2795,0.5688635943678101,0.7913577777396873,RMSE,6,0.05,0.9,RMSE,0.3,5000,10,0
catboost,202.278599424,2125,0.567899499108523,0.792270900787183,RMSE,6,0.05,0.9,RMSE,0.9,5000,10,0
catboost,461.449018942,1779,0.5546884573057953,0.7964128985312385,RMSE,10,0.05,0.9,RMSE,0.6,5000,10,1
catboost,178.363156565,1752,0.5586132396254178,0.7952422441806106,RMSE,10,0.05,0.5,RMSE,0.3,5000,10,0
catboost,148.169750528,1730,0.5709836168611803,0.791114010720535,RMSE,6,0.05,0.5,RMSE,0.9,5000,10,0
catboost,144.332433067,1796,0.5649795359591222,0.7935557887538881,RMSE,8,0.05,0.5,RMSE,0.3,5000,10,0
catboost,210.729529824,2644,0.5619254595381632,0.7947022694693733,RMSE,8,0.05,0.5,RMSE,0.3,5000,10,10
catboost,265.885699617,2023,0.5621068863024827,0.7937769407930914,RMSE,8,0.05,0.9,RMSE,0.6,5000,10,10
catboost,668.959067617,1879,0.5549750421276629,0.7966693029396317,RMSE,10,0.05,0.9,RMSE,0.9,5000,10,10
catboost,288.276706287,1370,0.559457278941303,0.7952778693189287,RMSE,10,0.05,0.5,RMSE,0.9,5000,10,10
catboost,152.965369843,1501,0.5601613691573754,0.7952601303659578,RMSE,10,0.05,0.5,RMSE,0.3,5000,10,1
