model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,351.112879122,755,0.5483156996615073,0.7968707317483805,0,1,binary,mse,11,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,136.905205137,1779,0.5734753410862207,0.7895595672134427,0,0,binary,mse,5,0,1,0.05,0.4,128,5000,mse,0.8,10
evotrees,143.047694878,820,0.5670406967875031,0.7906912518412599,0,10,binary,mse,7,0,1,0.05,0.4,128,5000,mse,1.0,10
evotrees,280.32724016,1909,0.5722262790015513,0.7892989243415963,0,10,binary,mse,5,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,257.833906627,450,0.5540186660965394,0.793961380278627,0,0,binary,mse,11,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,358.911951646,2405,0.5683855988640808,0.7910080764600252,0,1,binary,mse,5,0,1,0.05,0.8,128,5000,mse,1.0,10
evotrees,128.714008128,926,0.5669837738741562,0.7909944876480799,0,0,binary,mse,7,0,1,0.05,0.4,128,5000,mse,0.8,10
evotrees,208.098775199,1256,0.5620153039822086,0.7933586282050407,0,0,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.8,10
evotrees,205.867504639,1184,0.562252179068297,0.7929037656543403,0,1,binary,mse,7,0,1,0.05,1.0,128,5000,mse,0.6,10
evotrees,196.33929722,2074,0.5706221448863629,0.7898881765532331,0,10,binary,mse,5,0,1,0.05,0.8,128,5000,mse,0.6,10
evotrees,228.464696097,524,0.5536169084183246,0.7941691863621717,0,1,binary,mse,11,0,1,0.05,0.6,128,5000,mse,0.4,10
evotrees,257.166812621,1503,0.5590415022288916,0.794755181353784,0,10,binary,mse,7,0,1,0.05,1.0,128,5000,mse,0.6,10
evotrees,86.469017442,417,0.5641350202925439,0.7925483440010264,0,0,binary,mse,9,0,1,0.05,0.6,128,5000,mse,0.4,10
evotrees,285.901830764,1047,0.5526693784302779,0.7940718715010435,0,1,binary,mse,9,0,1,0.05,0.8,128,5000,mse,0.6,10
evotrees,686.912245003,855,0.5450137460767652,0.7966582231823744,0,10,binary,mse,11,0,1,0.05,0.8,128,5000,mse,1.0,10
evotrees,408.323602089,1137,0.5523979997575175,0.7955380332006722,0,0,binary,mse,9,0,1,0.05,1.0,128,5000,mse,0.8,10
