model_type,train_time,best_nround,mse,ndcg,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,11.007117052,63,4.426960540778234,0.7838623213886156,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,128,0.9
lightgbm,18.363945513,60,1.4185247298897494,0.7898444192542795,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,10,512,128,0.6
lightgbm,16.966667526,5,0.9511093950358804,0.7684909144046602,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,2048,128,0.3
lightgbm,14.084624337,5,0.9511093950358804,0.7684909144046602,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,2048,128,0.9
lightgbm,8.426571302,36,6.093862785613284,0.7800083309763177,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,128,128,0.6
lightgbm,8.756069029,36,6.093862785613284,0.7800083309763177,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,128,128,0.3
lightgbm,12.911083117,38,2.2586159689561334,0.7852255889944334,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.6
lightgbm,13.173260849,38,2.2586159689561334,0.7852255889944334,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,128,0.3
lightgbm,14.710509707,102,0.6185985231021714,0.7875863566637181,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,128,0.6
lightgbm,24.260273441,314,0.7862513059932623,0.7879151878339457,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,10,32,128,0.9
lightgbm,11.462998065,18,0.7712585342477398,0.7793566146280462,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,1,512,128,0.3
lightgbm,12.773423188,5,0.8314946401206376,0.7682016760911363,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,2048,128,0.6
lightgbm,19.454169251,15,4.2087446023918895,0.7786282246851469,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,2048,128,0.3
lightgbm,18.330886185,214,0.6154027069128747,0.7867022077650518,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,128,0.6
lightgbm,11.065087566,54,5.29659453813993,0.7833798874957989,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,128,0.3
lightgbm,13.333525576,5,0.9511093950358804,0.7684909144046602,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,2048,128,0.6
