model_type,train_time,best_nround,mse,ndcg,stack_size,ntrees,metric,batchsize,nrounds,hidden_size,wd,actA,loss,init_scale,device,early_stopping_rounds,hyper_id,lr,depth
neurotrees,132.733329128,45,0.6061391982893923,0.7778101243252289,1,256,mse,2048,200,64,0.0,identity,mse,1,gpu,3,1,0.0003,3
neurotrees,63.140271346,47,0.6117600148357581,0.7746433611256619,1,64,mse,2048,200,32,0.0,identity,mse,1,gpu,3,2,0.0003,3
neurotrees,96.146732573,39,0.6088895745490652,0.7785741462496901,1,256,mse,2048,200,16,0.0,identity,mse,1,gpu,3,3,0.0003,3
neurotrees,252.088387247,39,0.605068779126649,0.7794115497143381,1,256,mse,2048,200,64,0.0,identity,mse,1,gpu,3,4,0.0003,4
neurotrees,361.95878808,59,0.6026995400316985,0.7769413690002384,1,256,mse,2048,200,16,0.0,identity,mse,1,gpu,3,5,0.0003,4
neurotrees,86.547356989,40,0.6109700080613693,0.7740541080813867,1,64,mse,2048,200,32,0.0,identity,mse,1,gpu,3,6,0.0003,4
neurotrees,74.728535102,34,0.6104002754981432,0.7752268343645246,1,64,mse,2048,200,16,0.0,identity,mse,1,gpu,3,7,0.0003,4
neurotrees,143.771248851,41,0.6059383884043126,0.7777777894617857,1,128,mse,2048,200,64,0.0,identity,mse,1,gpu,3,8,0.0003,4
neurotrees,53.388811389,40,0.6129492309211936,0.7751763035235874,1,64,mse,2048,200,16,0.0,identity,mse,1,gpu,3,9,0.0003,3
neurotrees,139.777273005,62,0.6033708889825351,0.7784849546479847,1,256,mse,2048,200,32,0.0,identity,mse,1,gpu,3,10,0.0003,3
neurotrees,94.369723977,44,0.6094413154535206,0.7747308717585144,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,3,11,0.0003,4
neurotrees,87.757144009,52,0.6075008306648833,0.7762295933576824,1,128,mse,2048,200,16,0.0,identity,mse,1,gpu,3,12,0.0003,3
neurotrees,108.776616097,30,0.6095986575952501,0.7774297203461786,1,128,mse,2048,200,16,0.0,identity,mse,1,gpu,3,13,0.0003,4
neurotrees,143.905561536,31,0.6100804632023763,0.7737761063949316,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,3,14,0.0003,5
neurotrees,164.958780029,47,0.606887305579941,0.7752111577703393,1,128,mse,2048,200,32,0.0,identity,mse,1,gpu,3,15,0.0003,4
neurotrees,152.184863618,33,0.6086365388745734,0.7761291928310861,1,64,mse,2048,200,16,0.0,identity,mse,1,gpu,3,16,0.0003,5
