model_type,train_time,best_nround,mse,ndcg,eval_metric,max_depth,learning_rate,rsm,objective,subsample,border_count,iterations,early_stopping_rounds,reg_lambda
catboost,90.973381732,2826,0.5988031423012483,0.7838091090460929,RMSE,4,0.05,0.8,RMSE,0.6,64,5000,10,10
catboost,132.534949971,2086,0.5826526614815276,0.7893768033441975,RMSE,8,0.05,0.8,RMSE,0.4,64,5000,10,0
catboost,80.877172112,1865,0.5925692300618857,0.785840402379408,RMSE,6,0.05,0.6,RMSE,0.6,64,5000,10,0
catboost,129.442843803,3306,0.5964310207698631,0.7842535355106925,RMSE,4,0.05,0.8,RMSE,0.8,64,5000,10,10
catboost,52.908209867,1856,0.5932699581433434,0.7864845062437188,RMSE,6,0.05,0.4,RMSE,0.4,64,5000,10,1
catboost,72.416832008,2753,0.5999765090637764,0.7831999575184382,RMSE,4,0.05,0.8,RMSE,0.4,64,5000,10,10
catboost,242.363211965,2544,0.577457256327553,0.7908301499239951,RMSE,8,0.05,0.8,RMSE,1.0,64,5000,10,1
catboost,43.283574014,2277,0.6039117738090148,0.7819062143698416,RMSE,4,0.05,0.4,RMSE,0.4,64,5000,10,1
catboost,161.858997885,2130,0.5797400315478172,0.7897627002031072,RMSE,8,0.05,0.4,RMSE,1.0,64,5000,10,1
catboost,204.888867693,1507,0.5778553769090842,0.7903553950698818,RMSE,10,0.05,0.8,RMSE,0.6,64,5000,10,0
catboost,90.357484074,2220,0.5907530777566243,0.7861546701849919,RMSE,6,0.05,1.0,RMSE,0.4,64,5000,10,10
catboost,122.38651087,1444,0.5845744946288471,0.7891538942345941,RMSE,8,0.05,0.8,RMSE,0.8,64,5000,10,0
catboost,180.03239643,2360,0.5797965122621529,0.7906960263264547,RMSE,8,0.05,0.4,RMSE,1.0,64,5000,10,10
catboost,117.944372206,1825,0.585515828261583,0.7890329677426587,RMSE,8,0.05,0.8,RMSE,0.4,64,5000,10,10
catboost,341.091369434,1334,0.5788094415494159,0.7895108967366741,RMSE,10,0.05,1.0,RMSE,1.0,64,5000,10,0
catboost,68.329939491,1232,0.5896597859945806,0.7864325382846686,RMSE,8,0.05,0.6,RMSE,0.4,64,5000,10,0
