model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,228.083482669,946,0.5793631290951528,0.790324330225484,0,0,binary,mse,9,0,1,0.05,0.6,128,5000,cred,0.6,10
evotrees,212.178800731,1661,0.5826402350355061,0.7903299409749722,0,0,binary,mse,7,0,1,0.05,0.6,128,5000,cred,0.6,10
evotrees,234.320970545,958,0.5829811546166428,0.7868539099504402,0,0,binary,mse,9,0,1,0.05,0.4,128,5000,cred,0.8,10
evotrees,413.029549769,811,0.5754740402692328,0.790710814738806,0,10,binary,mse,11,0,1,0.05,0.6,128,5000,cred,0.6,10
evotrees,200.00340537,2239,0.594252338643299,0.7864070163616187,0,10,binary,mse,5,0,1,0.05,0.4,128,5000,cred,1.0,10
evotrees,361.60197078,1608,0.5805557855607393,0.7899182589986763,0,1,binary,mse,7,0,1,0.05,1.0,128,5000,cred,0.8,10
evotrees,258.133476442,2350,0.5794329484123701,0.7906649271347375,0,1,binary,mse,7,0,1,0.05,0.8,128,5000,cred,0.4,10
evotrees,189.743544518,2824,0.5921204172451425,0.7865097730763121,0,1,binary,mse,5,0,1,0.05,0.8,128,5000,cred,0.4,10
evotrees,427.981722932,1094,0.574280939960887,0.7908863675433103,0,10,binary,mse,9,0,1,0.05,1.0,128,5000,cred,0.8,10
evotrees,226.942540892,946,0.5793631290951528,0.790324330225484,0,10,binary,mse,9,0,1,0.05,0.6,128,5000,cred,0.6,10
evotrees,280.613677863,702,0.5808609682850571,0.7880102240773027,0,1,binary,mse,9,0,1,0.05,0.8,128,5000,cred,1.0,10
evotrees,221.177061855,1661,0.5826402350355061,0.7903299409749722,0,1,binary,mse,7,0,1,0.05,0.6,128,5000,cred,0.6,10
evotrees,164.836683836,1771,0.5829268806964613,0.7887762521380317,0,1,binary,mse,7,0,1,0.05,0.6,128,5000,cred,0.4,10
evotrees,802.821613122,916,0.5692527225355484,0.7926815403055927,0,0,binary,mse,11,0,1,0.05,1.0,128,5000,cred,1.0,10
evotrees,432.723052786,970,0.5716844780220942,0.791523551501021,0,10,binary,mse,11,0,1,0.05,0.8,128,5000,cred,0.4,10
evotrees,126.942945439,954,0.5912186553537994,0.7857015036382013,0,10,binary,mse,7,0,1,0.05,0.4,128,5000,cred,0.8,10
