model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,498.386116873,1160,0.5791507102686968,0.7900374167644488,0,0,binary,mse,9,0,1,0.1,0.8,128,6000,credV2A,1.0,10
evotrees,211.126133352,1314,0.5941646237346586,0.7842952755038121,0,0,binary,mse,7,0,1,0.1,0.4,128,6000,credV2A,1.0,10
evotrees,303.926276362,1419,0.5782454168392126,0.7902234369316562,0,0,binary,mse,9,0,1,0.1,0.8,128,6000,credV2A,0.4,10
evotrees,216.965622838,1594,0.5906474215286148,0.7871660925820722,0,10,binary,mse,7,0,1,0.1,0.6,128,6000,credV2A,0.6,10
evotrees,456.769990001,1400,0.5784559908907023,0.7896782774145505,0,1,binary,mse,9,0,1,0.1,1.0,128,6000,credV2A,0.6,10
evotrees,377.526108279,573,0.5783349943548097,0.7890838750192962,0,0,binary,mse,11,0,1,0.1,0.8,128,6000,credV2A,0.6,10
evotrees,539.452791466,1621,0.5752373258582151,0.7902537461652995,0,0,binary,mse,9,0,1,0.1,0.8,128,6000,credV2A,0.8,10
evotrees,410.084825434,4073,0.5993381103631561,0.7837921605124003,0,1,binary,mse,5,0,1,0.1,0.6,128,6000,credV2A,1.0,10
evotrees,463.188105442,3677,0.6026479432809412,0.782894000522089,0,10,binary,mse,5,0,1,0.1,0.8,128,6000,credV2A,1.0,10
evotrees,724.200588806,6000,0.5994055871546204,0.7839134104719367,0,0,binary,mse,5,0,1,0.1,1.0,128,6000,credV2A,0.8,10
evotrees,361.375366183,930,0.5835613879783427,0.7859353373949737,0,10,binary,mse,9,0,1,0.1,1.0,128,6000,credV2A,0.8,10
evotrees,396.020832514,791,0.576245949255253,0.7891283601558782,0,0,binary,mse,11,0,1,0.1,0.8,128,6000,credV2A,0.4,10
evotrees,381.289458132,3745,0.6020151812870834,0.7827749595283968,0,1,binary,mse,5,0,1,0.1,0.8,128,6000,credV2A,0.8,10
evotrees,343.188206385,745,0.578081248970791,0.7893931273655208,0,0,binary,mse,11,0,1,0.1,0.6,128,6000,credV2A,0.4,10
evotrees,320.709844903,1059,0.5803042037756138,0.7885369119471242,0,1,binary,mse,9,0,1,0.1,0.6,128,6000,credV2A,0.8,10
evotrees,242.847973627,3888,0.6033523814353088,0.7824834302802395,0,1,binary,mse,5,0,1,0.1,0.8,128,6000,credV2A,0.4,10
