model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,325.49821238,6000,0.6056205104413271,0.7810454678037191,0,1,binary,mse,5,0,1,0.05,0.6,128,6000,credV2A,0.4,10
evotrees,1206.805290279,1421,0.5708523552347968,0.7935905187217193,0,10,binary,mse,11,0,1,0.05,0.8,128,6000,credV2A,1.0,10
evotrees,1068.988763773,1865,0.5685046701466013,0.7933697185501841,0,10,binary,mse,11,0,1,0.05,0.6,128,6000,credV2A,0.6,10
evotrees,738.958554623,1088,0.5777709284015614,0.7898331418685853,0,0,binary,mse,11,0,1,0.05,0.4,128,6000,credV2A,1.0,10
evotrees,341.523123671,6000,0.6025147532112969,0.782628584040894,0,0,binary,mse,5,0,1,0.05,0.4,128,6000,credV2A,0.6,10
evotrees,827.395014815,2830,0.5731916077574805,0.7926969112848331,0,1,binary,mse,9,0,1,0.05,0.8,128,6000,credV2A,0.6,10
evotrees,826.991748002,4861,0.5859844512826893,0.7873858521798129,0,1,binary,mse,7,0,1,0.05,1.0,128,6000,credV2A,0.6,10
evotrees,438.399419228,5998,0.6044098980443849,0.78277255750068,0,0,binary,mse,5,0,1,0.05,0.6,128,6000,credV2A,0.6,10
evotrees,830.640227552,2830,0.5731916077574805,0.7926969112848331,0,10,binary,mse,9,0,1,0.05,0.8,128,6000,credV2A,0.6,10
evotrees,946.704435174,2414,0.5788445283272693,0.7896969984221848,0,0,binary,mse,9,0,1,0.05,1.0,128,6000,credV2A,0.8,10
evotrees,1017.816339821,1032,0.5818716198612612,0.7868692651321116,0,1,binary,mse,11,0,1,0.05,1.0,128,6000,credV2A,1.0,10
evotrees,381.682697363,5151,0.6112866202537237,0.7788664222693393,0,10,binary,mse,5,0,1,0.05,1.0,128,6000,credV2A,0.4,10
evotrees,763.435544946,6000,0.6055765902016422,0.7811768206678961,0,0,binary,mse,5,0,1,0.05,0.8,128,6000,credV2A,1.0,10
evotrees,636.750840275,6000,0.6054810496585291,0.7814550380676012,0,0,binary,mse,5,0,1,0.05,0.8,128,6000,credV2A,0.8,10
evotrees,380.50586085,6000,0.606899328046468,0.7805452884318916,0,0,binary,mse,5,0,1,0.05,0.8,128,6000,credV2A,0.4,10
evotrees,347.770722098,6000,0.6025147532112969,0.782628584040894,0,10,binary,mse,5,0,1,0.05,0.4,128,6000,credV2A,0.6,10
