model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,514.045438087,1116,0.5709007674895175,0.7924083213499131,0,1,binary,mse,11,0,1,0.05,0.8,128,6000,credV2B,0.4,10
evotrees,455.593756675,2713,0.5920872218219988,0.7869085081048541,0,0,binary,mse,5,0,1,0.05,1.0,128,6000,credV2B,1.0,10
evotrees,221.199265054,1957,0.5812787423638645,0.7892956934513288,0,10,binary,mse,7,0,1,0.05,0.8,128,6000,credV2B,0.4,10
evotrees,256.552075181,2735,0.5921448838592548,0.7868198417465654,0,0,binary,mse,5,0,1,0.05,0.8,128,6000,credV2B,0.6,10
evotrees,201.935538119,2159,0.5945224666432516,0.7862391435231177,0,10,binary,mse,5,0,1,0.05,0.6,128,6000,credV2B,0.8,10
evotrees,224.658063451,1657,0.5835087552281346,0.7894248670781283,0,0,binary,mse,7,0,1,0.05,0.6,128,6000,credV2B,0.6,10
evotrees,362.834300306,1559,0.5815699498387231,0.7896978757561272,0,10,binary,mse,7,0,1,0.05,1.0,128,6000,credV2B,0.8,10
evotrees,518.196967066,1310,0.5726436288933809,0.7927289236264031,0,1,binary,mse,9,0,1,0.05,1.0,128,6000,credV2B,0.8,10
evotrees,94.707479681,2055,0.5978041816034665,0.7843877978735062,0,1,binary,mse,5,0,1,0.05,0.4,128,6000,credV2B,0.4,10
evotrees,212.291374419,2823,0.5923839214334219,0.7856252321821405,0,1,binary,mse,5,0,1,0.05,0.8,128,6000,credV2B,0.4,10
evotrees,345.071536484,1027,0.5783195377753167,0.7904449317740674,0,1,binary,mse,9,0,1,0.05,0.6,128,6000,credV2B,0.8,10
evotrees,234.177192252,1206,0.585711883174484,0.7885189086854458,0,1,binary,mse,7,0,1,0.05,0.6,128,6000,credV2B,0.8,10
evotrees,506.833329827,2766,0.591178485660486,0.7867657588205913,0,0,binary,mse,5,0,1,0.05,0.8,128,6000,credV2B,1.0,10
evotrees,151.553925989,1780,0.5865160261280301,0.7862414321635723,0,1,binary,mse,7,0,1,0.05,0.4,128,6000,credV2B,0.4,10
evotrees,450.209734463,1563,0.5810256346716672,0.7898519249315579,0,1,binary,mse,7,0,1,0.05,0.8,128,6000,credV2B,1.0,10
evotrees,260.765109727,2159,0.5945224666432516,0.7862391435231177,0,0,binary,mse,5,0,1,0.05,0.6,128,6000,credV2B,0.8,10
