model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,140.86727585,1877,0.5958788859951432,0.7840027055461137,0,0,binary,mse,5,1,1,0.05,0.4,128,6000,cred_std,0.8,10
evotrees,620.479009462,840,0.5721995593504425,0.7892264167276156,0,0,binary,mse,11,1,1,0.05,0.8,128,6000,cred_std,1.0,10
evotrees,237.676446004,1039,0.5782605734303528,0.7908101358254932,0,0,binary,mse,9,1,1,0.05,0.6,128,6000,cred_std,0.6,10
evotrees,188.408851681,1527,0.581998347028644,0.7896820187611324,0,0,binary,mse,7,1,1,0.05,0.6,128,6000,cred_std,0.6,10
evotrees,155.805409779,680,0.5867904701278588,0.7870687706146312,0,0,binary,mse,9,1,1,0.05,0.4,128,6000,cred_std,0.8,10
evotrees,329.247250541,671,0.5783338784186755,0.7890349344251516,0,0,binary,mse,11,1,1,0.05,0.6,128,6000,cred_std,0.6,10
evotrees,96.592354894,1613,0.5933623356012407,0.7856598225208206,0,0,binary,mse,5,0,1,0.05,0.6,128,6000,cred_std,0.6,10
evotrees,461.040923908,1752,0.5798748166273506,0.7908173322667178,0,0,binary,mse,7,1,1,0.05,1.0,128,6000,cred_std,1.0,10
evotrees,219.886623174,1496,0.5819650949235133,0.7892487455871451,0,0,binary,mse,7,1,1,0.05,0.8,128,6000,cred_std,0.6,10
evotrees,227.184314295,2052,0.5930163984846045,0.7859689859717087,0,0,binary,mse,5,1,1,0.05,0.8,128,6000,cred_std,0.8,10
evotrees,272.138158208,744,0.5752258329627751,0.7921886073799413,0,0,binary,mse,9,0,1,0.05,1.0,128,6000,cred_std,1.0,10
evotrees,250.57988581,844,0.5742143527074595,0.791734643906132,0,0,binary,mse,9,0,1,0.05,0.6,128,6000,cred_std,1.0,10
evotrees,277.23584435,1288,0.5719479855708013,0.7924189857008905,0,0,binary,mse,9,1,1,0.05,1.0,128,6000,cred_std,0.4,10
evotrees,184.453024148,1185,0.5817479777479434,0.7896251589319129,0,0,binary,mse,7,0,1,0.05,0.6,128,6000,cred_std,1.0,10
evotrees,207.711545584,1368,0.5824493266722764,0.7902403936659841,0,0,binary,mse,7,1,1,0.05,0.6,128,6000,cred_std,0.8,10
evotrees,467.776442524,667,0.5707513924068986,0.7926067614888195,0,0,binary,mse,11,0,1,0.05,1.0,128,6000,cred_std,1.0,10
