model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,108.713642449,946,0.5963692802299282,0.7837575348889261,0,0,binary,mse,9,0,1,0.05,0.6,128,6000,cred_var,0.6,10
evotrees,98.496999207,1312,0.5999308048571039,0.7824697228736481,0,0,binary,mse,7,0,1,0.05,0.6,128,6000,cred_var,0.6,10
evotrees,103.089454166,847,0.6010971408967938,0.7817406669561496,0,0,binary,mse,9,0,1,0.05,0.4,128,6000,cred_var,0.8,10
evotrees,143.464863549,707,0.5920216249287884,0.7842034205589838,0,0,binary,mse,11,1,1,0.05,0.6,128,6000,cred_var,0.6,10
evotrees,55.852573164,1411,0.6114284231804074,0.7784810741790634,0,0,binary,mse,5,1,1,0.05,0.6,128,6000,cred_var,0.4,10
evotrees,217.689618177,1363,0.5979252359462288,0.781886028080015,0,0,binary,mse,7,0,1,0.05,1.0,128,6000,cred_var,1.0,10
evotrees,114.978752012,1276,0.5993400540000824,0.7828246745726384,0,0,binary,mse,7,0,1,0.05,0.8,128,6000,cred_var,0.6,10
evotrees,110.27475859,1672,0.6077108115717541,0.7797642676671603,0,0,binary,mse,5,1,1,0.05,0.8,128,6000,cred_var,0.6,10
evotrees,196.869500872,832,0.5944655162120077,0.7832721490677351,0,0,binary,mse,9,0,1,0.05,1.0,128,6000,cred_var,1.0,10
evotrees,175.039660304,1244,0.5939423713725724,0.7840559276071001,0,0,binary,mse,9,1,1,0.05,0.6,128,6000,cred_var,0.8,10
evotrees,161.640381244,1568,0.5867356766187956,0.7882116397349263,0,0,binary,mse,9,0,1,0.05,1.0,128,6000,cred_var,0.4,10
evotrees,129.309604972,1368,0.6010306210684271,0.7822289466474234,0,0,binary,mse,7,1,1,0.05,0.6,128,6000,cred_var,0.8,10
evotrees,129.517370635,1368,0.6010306210684271,0.7822289466474234,0,0,binary,mse,7,0,1,0.05,0.6,128,6000,cred_var,0.8,10
evotrees,288.426061761,772,0.5889845574773416,0.7857686826473206,0,0,binary,mse,11,0,1,0.05,1.0,128,6000,cred_var,1.0,10
evotrees,116.187739216,454,0.594353330894769,0.7847441867109318,0,0,binary,mse,11,0,1,0.05,0.8,128,6000,cred_var,0.6,10
evotrees,72.417520277,1342,0.6004718067917804,0.7826107455034167,0,0,binary,mse,7,1,1,0.05,0.6,128,6000,cred_var,0.4,10
