model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,234.018520585,618,0.578847891589782,0.789114099106301,0,0,binary,mse,9,0,1,0.05,0.6,128,6000,mae,0.6,10
evotrees,216.361952964,1189,0.5837149148215229,0.7873501994164397,0,0,binary,mse,7,0,1,0.05,0.6,128,6000,mae,0.6,10
evotrees,204.469249315,489,0.5847115683477332,0.786396806595488,0,0,binary,mse,9,0,1,0.05,0.4,128,6000,mae,0.8,10
evotrees,802.587161176,1094,0.5670175185643545,0.7911048574693865,0,0,binary,mse,11,1,1,0.05,0.6,128,6000,mae,0.6,10
evotrees,222.724108511,3514,0.5971201391950345,0.7829347022088006,0,0,binary,mse,5,1,1,0.05,0.6,128,6000,mae,0.4,10
evotrees,530.598826162,1629,0.5788166509665675,0.7891070989196841,0,0,binary,mse,7,0,1,0.05,1.0,128,6000,mae,1.0,10
evotrees,225.355280426,1202,0.5825672558192682,0.7891304108719672,0,0,binary,mse,7,0,1,0.05,0.8,128,6000,mae,0.6,10
evotrees,381.625517454,3681,0.5949667036420058,0.7847156975745411,0,0,binary,mse,5,1,1,0.05,0.8,128,6000,mae,0.6,10
evotrees,459.17060145,752,0.5730838467833926,0.7907174817508446,0,0,binary,mse,9,0,1,0.05,1.0,128,6000,mae,1.0,10
evotrees,553.084574246,1293,0.5741081672564031,0.7919025495002552,0,0,binary,mse,9,1,1,0.05,0.6,128,6000,mae,0.8,10
evotrees,216.251274114,868,0.5714578841043616,0.7921980859626987,0,0,binary,mse,9,0,1,0.05,1.0,128,6000,mae,0.4,10
evotrees,471.066410219,2307,0.5824208684906521,0.7900827937863308,0,0,binary,mse,7,1,1,0.05,0.6,128,6000,mae,0.8,10
evotrees,245.974823393,1194,0.5841360686302707,0.7896945591851211,0,0,binary,mse,7,0,1,0.05,0.6,128,6000,mae,0.8,10
evotrees,718.634275904,552,0.5671683622953987,0.7903381650814902,0,0,binary,mse,11,0,1,0.05,1.0,128,6000,mae,1.0,10
evotrees,380.30330548,493,0.5698329853163526,0.7908421897828799,0,0,binary,mse,11,0,1,0.05,0.8,128,6000,mae,0.6,10
evotrees,258.320600385,2442,0.5831413093564649,0.7882802573120985,0,0,binary,mse,7,1,1,0.05,0.6,128,6000,mae,0.4,10
