model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,113.561115352,868,0.6057890766714152,0.7825711372179358,0,0,oblivious,mse,9,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,121.872222235,1486,0.5975107930119243,0.7842606091956762,0,0,oblivious,mse,7,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,247.73612556,1918,0.5937481431144945,0.7863651042939246,0,0,oblivious,mse,9,0,1,0.05,0.4,128,5000,mse,0.8,10
evotrees,495.896002908,2237,0.5894420107047184,0.7871752158965648,0,10,oblivious,mse,11,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,145.816595119,2542,0.5983963440397357,0.7824992368064101,0,10,oblivious,mse,5,0,1,0.05,0.4,128,5000,mse,1.0,10
evotrees,276.983088407,2043,0.5925719964950626,0.786958723392945,0,1,oblivious,mse,7,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,152.647740184,2161,0.5922857834035488,0.7856168332439789,0,1,oblivious,mse,7,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,97.412480845,2336,0.6001070979092957,0.7834543862574164,0,1,oblivious,mse,5,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,560.260761476,2793,0.5857426892895081,0.7894091380401566,0,10,oblivious,mse,9,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,313.905579542,2312,0.5889462701815632,0.7877643159247062,0,10,oblivious,mse,9,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,339.14714082,1604,0.5943113634922281,0.7856976216347418,0,1,oblivious,mse,9,0,1,0.05,0.8,128,5000,mse,1.0,10
evotrees,183.766319842,2237,0.5919722513514025,0.786796921037576,0,1,oblivious,mse,7,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,157.725602773,2530,0.5905656854490827,0.7867835000437242,0,1,oblivious,mse,7,0,1,0.05,0.6,128,5000,mse,0.4,10
evotrees,694.878172348,2162,0.5898216789925116,0.7869309194095101,0,0,oblivious,mse,11,0,1,0.05,1.0,128,5000,mse,1.0,10
evotrees,433.486972888,2123,0.5896746398448074,0.7871121801228146,0,10,oblivious,mse,11,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,173.470963569,1943,0.5941289247009015,0.7845877186531934,0,10,oblivious,mse,7,0,1,0.05,0.4,128,5000,mse,0.8,10
