model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,317.041236593,1279,0.588198256630259,0.7863815394513145,0,0,binary,mse,9,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,129.242925803,1149,0.5964260704787938,0.7841811444204693,0,0,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,184.297537771,694,0.5964936313995466,0.7833559488153637,0,0,binary,mse,9,0,1,0.05,0.4,128,5000,mse,0.8,10
evotrees,562.707701432,910,0.58370842365583,0.7880543424145365,0,10,binary,mse,11,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,164.907051992,2218,0.6025522312262656,0.7828339571110953,0,10,binary,mse,5,0,1,0.05,0.4,128,5000,mse,1.0,10
evotrees,310.719910769,1841,0.5881268491326961,0.7881197252627365,0,1,binary,mse,7,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,178.757415545,1968,0.5890075286211163,0.7875854739266741,0,1,binary,mse,7,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,134.743671293,2751,0.5983424701743839,0.7830445981035382,0,1,binary,mse,5,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,708.753585677,2053,0.5782398041641136,0.7917287436674931,0,10,binary,mse,9,0,1,0.05,1.0,128,5000,mse,0.8,10
evotrees,398.580105601,1626,0.5851125147233772,0.7881267390135155,0,10,binary,mse,9,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,497.126555188,1334,0.5834353715430206,0.7881687844370359,0,1,binary,mse,9,0,1,0.05,0.8,128,5000,mse,1.0,10
evotrees,117.791096505,1023,0.5974510956669394,0.783878657896124,0,1,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.6,10
evotrees,145.306000377,1746,0.5927561500294408,0.7858177154686941,0,1,binary,mse,7,0,1,0.05,0.6,128,5000,mse,0.4,10
evotrees,317.712861736,318,0.5896332112322129,0.7864160901077576,0,0,binary,mse,11,0,1,0.05,1.0,128,5000,mse,1.0,10
evotrees,693.651990096,1272,0.5783596382853099,0.7893250812572707,0,10,binary,mse,11,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,172.563569534,1400,0.5962289081889033,0.7831912513167412,0,10,binary,mse,7,0,1,0.05,0.4,128,5000,mse,0.8,10
