model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,120.157347191,1701,0.5786238166315784,0.7903889398706183,0,10,binary,mse,7,0,1,0.05,0.6,64,5000,mse,0.6,10
evotrees,113.082899865,698,0.5776654221573154,0.7893181068410557,0,0,binary,mse,9,0,1,0.05,0.6,64,5000,mse,0.8,10
evotrees,76.375781217,1748,0.5947805856108469,0.7849062761480105,0,0,binary,mse,5,0,1,0.05,1.0,64,5000,mse,0.4,10
evotrees,181.31823513,486,0.5755423269081342,0.789758933676371,0,0,binary,mse,11,0,1,0.05,0.6,64,5000,mse,1.0,10
evotrees,319.301552679,784,0.5667080056458866,0.7947662746045585,0,1,binary,mse,11,0,1,0.05,1.0,64,5000,mse,1.0,10
evotrees,58.966774188,529,0.5836433889698428,0.78728516690527,0,0,binary,mse,9,0,1,0.05,0.4,64,5000,mse,0.6,10
evotrees,64.046101148,2071,0.591463708188553,0.7853918561185733,0,0,binary,mse,5,0,1,0.05,0.6,64,5000,mse,0.4,10
evotrees,66.152815908,844,0.5786605489308042,0.7897547984355324,0,10,binary,mse,9,0,1,0.05,0.4,64,5000,mse,0.4,10
evotrees,70.596603164,433,0.5790528602938958,0.787682930509025,0,10,binary,mse,11,0,1,0.05,0.4,64,5000,mse,0.4,10
evotrees,315.661311917,793,0.5672456885805734,0.7910905153608352,0,0,binary,mse,11,0,1,0.05,0.8,64,5000,mse,1.0,10
evotrees,130.398474548,1683,0.5938219635823709,0.784832908907706,0,0,binary,mse,5,0,1,0.05,1.0,64,5000,mse,0.8,10
evotrees,105.934704549,1277,0.5801502385548094,0.7895833952142908,0,0,binary,mse,7,0,1,0.05,0.8,64,5000,mse,0.6,10
evotrees,67.229791039,423,0.5819900371397967,0.7853380421689646,0,1,binary,mse,11,0,1,0.05,0.4,64,5000,mse,0.4,10
evotrees,209.672799806,572,0.5691517076424908,0.7947180828945237,0,0,binary,mse,11,0,1,0.05,1.0,64,5000,mse,0.8,10
evotrees,138.063063999,1069,0.5815275372628591,0.7887745931333753,0,10,binary,mse,7,0,1,0.05,0.8,64,5000,mse,1.0,10
evotrees,67.494264128,1250,0.5974507887265146,0.7846674172414531,0,0,binary,mse,5,0,1,0.05,0.4,64,5000,mse,1.0,10
