model_type,train_time,best_nround,mse,ndcg,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,33.724503369,741,0.5796298827543958,0.7918650858426739,1.0,"[""mse""]",-1,0.05,20,mse,5000,10,0,128,32,0.8
lightgbm,119.776892048,451,0.5649826490777875,0.7909143608381863,0.6,"[""mse""]",-1,0.05,20,mse,5000,10,0,2048,32,1.0
lightgbm,39.958840068,867,0.578227013545633,0.7902331340327747,1.0,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,32,1.0
lightgbm,116.611196949,522,0.563019325422632,0.7939612968729824,0.4,"[""mse""]",-1,0.05,20,mse,5000,10,1,2048,32,0.4
lightgbm,80.706080939,932,0.5655131877538347,0.7944115494102909,0.4,"[""mse""]",-1,0.05,20,mse,5000,10,10,512,32,0.4
lightgbm,38.658406054,1663,0.5856567392966627,0.7880647215931453,1.0,"[""mse""]",-1,0.05,20,mse,5000,10,1,32,32,0.8
lightgbm,40.103360393,867,0.578227013545633,0.7902331340327747,1.0,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,32,0.6
lightgbm,50.824992834,1246,0.5891891102873066,0.7858863055803531,0.4,"[""mse""]",-1,0.05,20,mse,5000,10,1,32,32,0.8
lightgbm,50.280513927,1211,0.5736592819144261,0.7925532671175058,0.8,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,32,0.8
lightgbm,33.573150477,734,0.5800068409396733,0.789397552014259,1.0,"[""mse""]",-1,0.05,20,mse,5000,10,1,128,32,1.0
lightgbm,54.953513373,1027,0.57591487430702,0.7921983912238822,0.4,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,32,1.0
lightgbm,69.185372629,777,0.5683687854807747,0.7937225995215219,1.0,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,32,0.6
lightgbm,23.019350038,798,0.5934896094342651,0.7837016929155401,0.8,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,32,1.0
lightgbm,63.305360236,1598,0.5855612575969499,0.7882090656172236,0.4,"[""mse""]",-1,0.05,20,mse,5000,10,10,32,32,1.0
lightgbm,78.452735987,952,0.5653752324323643,0.7934394488729293,0.4,"[""mse""]",-1,0.05,20,mse,5000,10,0,512,32,1.0
lightgbm,35.657767689,764,0.578672978208215,0.7922536821303362,0.6,"[""mse""]",-1,0.05,20,mse,5000,10,10,128,32,0.4
