model_type,train_time,best_nround,mse,ndcg,depth,stack_size,ntrees,metric,batchsize,nrounds,hidden_size,wd,actA,loss,init_scale,device,early_stopping_rounds,hyper_id,MLE_tree_split,lr
neurotrees,396.118689854,42,0.5999682215920138,0.7794877425086943,5,1,128,mse,2048,200,16,0.0,identity,mse,0.0,gpu,2,1,true,0.001
neurotrees,109.389325541,53,0.6004142127081707,0.7804339913834694,3,1,128,mse,2048,200,16,0.0,identity,mse,0.0,gpu,2,2,true,0.001
neurotrees,49.485916323,37,0.6108872640692874,0.7773289657940121,3,1,64,mse,2048,200,16,0.0,identity,mse,0.0,gpu,2,3,true,0.001
neurotrees,264.914976793,34,0.6063508617513865,0.7788264117588598,4,1,256,mse,2048,200,64,0.0,identity,mse,0.0,gpu,2,4,true,0.001
neurotrees,89.516773314,35,0.6115506529786495,0.778567791080599,4,1,64,mse,2048,200,32,0.0,identity,mse,0.0,gpu,2,5,true,0.001
neurotrees,52.393783557,39,0.6084781843485749,0.7781921509104747,3,1,64,mse,2048,200,64,0.0,identity,mse,0.0,gpu,2,6,true,0.001
neurotrees,202.691553653,48,0.5999251891712581,0.7803930365453583,4,1,128,mse,2048,200,32,0.0,identity,mse,0.0,gpu,2,7,true,0.001
neurotrees,60.725480873,47,0.6048945113635054,0.7790235185143501,3,1,64,mse,2048,200,32,0.0,identity,mse,0.0,gpu,2,8,true,0.001
neurotrees,320.895433479,46,0.5989541622977161,0.7802932604143221,4,1,256,mse,2048,200,16,0.0,identity,mse,0.0,gpu,2,9,true,0.001
neurotrees,127.356779272,45,0.6025157998323576,0.7806207096442911,3,1,256,mse,2048,200,32,0.0,identity,mse,0.0,gpu,2,10,true,0.001
neurotrees,215.440830947,44,0.6012835338210946,0.7780892467310282,5,1,64,mse,2048,200,64,0.0,identity,mse,0.0,gpu,2,11,true,0.001
neurotrees,96.320028039,41,0.6052830310889845,0.7790643239141322,4,1,64,mse,2048,200,64,0.0,identity,mse,0.0,gpu,2,12,true,0.001
neurotrees,436.529284312,48,0.599401915942501,0.7787328020873221,5,1,128,mse,2048,200,32,0.0,identity,mse,0.0,gpu,2,13,true,0.001
neurotrees,710.447963453,41,0.5996391571126278,0.7802093962660256,5,1,256,mse,2048,200,64,0.0,identity,mse,0.0,gpu,2,14,true,0.001
neurotrees,847.590284407,49,0.5999789213210385,0.7798050341383715,5,1,256,mse,2048,200,32,0.0,identity,mse,0.0,gpu,2,15,true,0.001
neurotrees,382.38915222,41,0.5998167659831407,0.7791577021548313,5,1,128,mse,2048,200,64,0.0,identity,mse,0.0,gpu,2,16,true,0.001
