model_type,train_time,best_nround,mse,ndcg,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,41.978566143,683,0.5774505082072667,0.7913418617706612,0,rmse,0.6,8,1,0.05,reg:squarederror,hist,1.0,5000,10,64
xgboost,57.619538877,1516,0.59696591967138,0.7835165364844635,0,rmse,0.8,4,0,0.05,reg:squarederror,hist,1.0,5000,10,64
xgboost,56.76605097,1229,0.5847143849440201,0.7873560622657664,0,rmse,0.4,6,1,0.05,reg:squarederror,hist,0.6,5000,10,64
xgboost,39.865610175,587,0.5816434621578154,0.7882534285623213,0,rmse,0.6,8,1,0.05,reg:squarederror,hist,0.6,5000,10,64
xgboost,63.383779941,1399,0.5819094771592963,0.78961379332354,0,rmse,0.6,6,1,0.05,reg:squarederror,hist,0.8,5000,10,64
xgboost,53.104424849,866,0.5769211549513299,0.7920982574482164,0,rmse,0.8,8,1,0.05,reg:squarederror,hist,1.0,5000,10,64
xgboost,62.161310757,650,0.570821920681473,0.7930488186028889,0,rmse,1.0,10,0,0.05,reg:squarederror,hist,1.0,5000,10,64
xgboost,52.729427871,593,0.5740500819086396,0.7907917980120521,0,rmse,0.4,10,1,0.05,reg:squarederror,hist,0.6,5000,10,64
xgboost,53.352222548,901,0.5743818621937995,0.791964073712814,0,rmse,0.6,8,1,0.05,reg:squarederror,hist,0.8,5000,10,64
xgboost,62.88967494,1689,0.5966619209589854,0.7840631961353849,0,rmse,0.4,4,0,0.05,reg:squarederror,hist,0.6,5000,10,64
xgboost,46.140926403,511,0.5796413042050446,0.7870331059290626,0,rmse,0.4,10,10,0.05,reg:squarederror,hist,0.4,5000,10,64
xgboost,58.694668865,624,0.5712777050783843,0.7934481916323723,0,rmse,0.6,10,0,0.05,reg:squarederror,hist,0.8,5000,10,64
xgboost,54.308178979,1163,0.5843570555847862,0.7887616033968297,0,rmse,0.6,6,10,0.05,reg:squarederror,hist,0.6,5000,10,64
xgboost,81.475188343,956,0.5660460984860755,0.794744958126451,0,rmse,0.6,10,10,0.05,reg:squarederror,hist,1.0,5000,10,64
xgboost,57.175059061,1248,0.5818470790193876,0.7902615360917624,0,rmse,1.0,6,1,0.05,reg:squarederror,hist,0.8,5000,10,64
xgboost,71.119599309,1537,0.5807509626111034,0.7905384026952129,0,rmse,1.0,6,0,0.05,reg:squarederror,hist,0.8,5000,10,64
