model_type,train_time,best_nround,mse,ndcg,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,136.152374961,1988,0.5925150702756208,0.7864373815531649,RMSE,6,0.05,0.9,RMSE,0.6,5000,10,0
catboost,68.382855879,2213,0.6045149342387937,0.7813497051404227,RMSE,4,0.05,0.9,RMSE,0.3,5000,10,1
catboost,86.739003006,1515,0.5989752300429335,0.7840314542805842,RMSE,6,0.05,0.9,RMSE,0.3,5000,10,10
catboost,157.400182802,1392,0.5875731832579042,0.7871364229979945,RMSE,8,0.05,0.5,RMSE,0.6,5000,10,0
catboost,82.093352011,2008,0.6039117876738528,0.781392435309269,RMSE,4,0.05,0.9,RMSE,0.6,5000,10,0
catboost,392.354085203,2095,0.5774367784060026,0.7912414300213341,RMSE,10,0.05,0.5,RMSE,0.6,5000,10,10
catboost,138.379315102,2606,0.6000063470425855,0.7828633364573453,RMSE,4,0.05,0.9,RMSE,0.9,5000,10,0
catboost,75.497006612,2441,0.6030756268735306,0.7819724374240276,RMSE,4,0.05,0.9,RMSE,0.3,5000,10,0
catboost,116.812468656,2060,0.5951578719281615,0.7839987052500005,RMSE,6,0.05,0.9,RMSE,0.3,5000,10,0
catboost,141.566735941,1712,0.5933705727844912,0.7856605821183149,RMSE,6,0.05,0.9,RMSE,0.9,5000,10,0
catboost,102.415936376,3049,0.5983444573443856,0.7842396099253147,RMSE,4,0.05,0.5,RMSE,0.6,5000,10,0
catboost,405.485100359,1734,0.5780784397560889,0.7915759122694171,RMSE,10,0.05,0.5,RMSE,0.9,5000,10,10
catboost,256.520589933,2269,0.582328980736755,0.7886319985695146,RMSE,8,0.05,0.5,RMSE,0.6,5000,10,1
catboost,285.338780923,2083,0.5859499871027822,0.788996865108739,RMSE,8,0.05,0.9,RMSE,0.3,5000,10,1
catboost,144.16756244,1990,0.5912226444870238,0.7868267021397515,RMSE,6,0.05,0.5,RMSE,0.9,5000,10,0
catboost,93.557045079,2771,0.600164444995824,0.782916483045601,RMSE,4,0.05,0.5,RMSE,0.6,5000,10,10
