model_type,train_time,best_nround,mse,ndcg,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,158.109511006,1590,0.595044380711132,0.7845094399565616,0,0,binary,mse,5,0,1,0.05,0.8,128,5000,mse,0.6,10
evotrees,507.980460064,553,0.5728308341281959,0.7923195133570897,0,0,binary,mse,11,0,1,0.05,1.0,128,5000,mse,1.0,10
evotrees,137.292576341,1345,0.5967410744064048,0.7841672132374311,0,10,binary,mse,5,0,1,0.05,0.4,128,5000,mse,1.0,10
evotrees,368.486931302,1162,0.5722174235022047,0.792104390700028,0,1,binary,mse,9,0,1,0.05,1.0,128,5000,mse,0.6,10
evotrees,109.343703164,497,0.5831883996265672,0.7881244162157882,0,1,binary,mse,9,0,1,0.05,0.6,128,5000,mse,0.4,10
evotrees,227.07977814,923,0.5750189974884193,0.7900750526607456,0,0,binary,mse,9,0,1,0.05,1.0,128,5000,mse,0.4,10
evotrees,210.117763666,472,0.5816150550611907,0.7860474533515558,0,1,binary,mse,11,0,1,0.05,0.4,128,5000,mse,0.4,10
evotrees,195.211472051,1817,0.5927932960976615,0.784385360426982,0,0,binary,mse,5,0,1,0.05,0.6,128,5000,mse,0.8,10
evotrees,146.565131369,2063,0.5929393939084434,0.785448087027792,0,1,binary,mse,5,0,1,0.05,0.8,128,5000,mse,0.4,10
evotrees,429.033257563,535,0.5752524242377828,0.7897365596444358,0,1,binary,mse,11,0,1,0.05,0.6,128,5000,mse,1.0,10
evotrees,107.555050639,892,0.5892797734053676,0.786380914162288,0,0,binary,mse,7,0,1,0.05,0.4,128,5000,mse,0.6,10
evotrees,310.282840265,1047,0.5731899472144011,0.7923550919319498,0,1,binary,mse,9,0,1,0.05,0.8,128,5000,mse,0.6,10
evotrees,464.878603383,984,0.5751875949314134,0.7907977407931263,0,0,binary,mse,9,0,1,0.05,1.0,128,5000,mse,1.0,10
evotrees,172.808391887,735,0.5821356744523991,0.7877040789112306,0,1,binary,mse,9,0,1,0.05,0.4,128,5000,mse,0.6,10
evotrees,670.875403952,749,0.5705311128886008,0.7928803406415803,0,1,binary,mse,11,0,1,0.05,1.0,128,5000,mse,1.0,10
evotrees,607.035034302,786,0.5676002168936536,0.7936096886849443,0,0,binary,mse,11,0,1,0.05,1.0,128,5000,mse,0.8,10
