model_type,train_time,best_nround,mse,ndcg,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,72.251657041,1092,0.5901526551285994,0.7851891233144092,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,32,128,0.3
lightgbm,253.129447187,445,0.5649435870950525,0.7928312726873382,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,1,2048,128,0.9
lightgbm,270.224391442,439,0.5636777806835092,0.7944848305991158,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,2048,128,0.3
lightgbm,217.547241985,393,0.5642613407606251,0.7933079069762095,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,2048,128,0.3
lightgbm,86.774583459,1573,0.5869299310092713,0.7874812630571558,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,128,0.6
lightgbm,248.582098037,444,0.565788380320107,0.7932022157991875,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,2048,128,0.6
lightgbm,122.24695062,1310,0.5891982942944071,0.787251265712475,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,0,32,128,0.3
lightgbm,58.375014442,378,0.585455431191184,0.7861897162913605,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,128,128,0.9
lightgbm,176.947945551,869,0.5653810589746976,0.794243676626818,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,512,128,0.9
lightgbm,258.883016833,437,0.5628598547467223,0.7911011006582371,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,10,2048,128,0.9
lightgbm,56.478054906,378,0.585455431191184,0.7861897162913605,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,0,128,128,0.3
lightgbm,155.269434311,804,0.5650981639750712,0.7942314717901419,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,1,512,128,0.6
lightgbm,77.929335692,1294,0.5890865193776925,0.7852420944105809,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,10,32,128,0.6
lightgbm,259.647686128,437,0.5628598547467223,0.7911011006582371,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,10,2048,128,0.3
lightgbm,113.525037924,471,0.5697479468504526,0.795197748896182,0.5,"[""mse""]",-1,0.05,20,mse,5000,10,1,512,128,0.9
lightgbm,254.978965784,445,0.5649435870950525,0.7928312726873382,0.9,"[""mse""]",-1,0.05,20,mse,5000,10,1,2048,128,0.6
