model_type,train_time,best_nround,mse,ndcg,stack_size,ntrees,metric,batchsize,nrounds,hidden_size,wd,actA,loss,init_scale,device,early_stopping_rounds,hyper_id,lr,depth
neurotrees,238.910617217,24,0.5960209166090314,0.7821566149608012,1,128,mse,2048,200,16,0.0,identity,mse,1,gpu,3,1,0.0003,5
neurotrees,81.250764556,34,0.5977202955690263,0.7818887931720688,1,128,mse,2048,200,16,0.0,identity,mse,1,gpu,3,2,0.0003,3
neurotrees,55.320754183,28,0.6008365474072376,0.7804412927160714,1,64,mse,2048,200,16,0.0,identity,mse,1,gpu,3,3,0.0003,3
neurotrees,271.616025355,37,0.592562079038753,0.7844359184619706,1,256,mse,2048,200,64,0.0,identity,mse,1,gpu,3,4,0.0003,4
neurotrees,64.136493597,21,0.6010464242715025,0.7820609798840229,1,64,mse,2048,200,32,0.0,identity,mse,1,gpu,3,5,0.0003,4
neurotrees,63.516451729,33,0.6002994623400773,0.7807083683406043,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,3,6,0.0003,3
neurotrees,162.316239418,37,0.5957482450886891,0.7822778163141821,1,128,mse,2048,200,32,0.0,identity,mse,1,gpu,3,7,0.0003,4
neurotrees,67.093537969,35,0.6014011834140938,0.7792383873103597,1,64,mse,2048,200,32,0.0,identity,mse,1,gpu,3,8,0.0003,3
neurotrees,285.678534923,39,0.593483262351681,0.7827947694792938,1,256,mse,2048,200,16,0.0,identity,mse,1,gpu,3,9,0.0003,4
neurotrees,124.743152719,38,0.5952006080252241,0.784280165817001,1,256,mse,2048,200,32,0.0,identity,mse,1,gpu,3,10,0.0003,3
neurotrees,148.048590173,26,0.5990799600322549,0.7802179404821576,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,3,11,0.0003,5
neurotrees,87.176025437,30,0.599204772697296,0.781025425503151,1,64,mse,2048,200,64,0.0,identity,mse,1,gpu,3,12,0.0003,4
neurotrees,261.636224336,26,0.5962240111523184,0.7827188787177561,1,128,mse,2048,200,32,0.0,identity,mse,1,gpu,3,13,0.0003,5
neurotrees,508.547631412,28,0.5939489967183051,0.7828689238157286,1,256,mse,2048,200,64,0.0,identity,mse,1,gpu,3,14,0.0003,5
neurotrees,508.929797456,28,0.5933918541812898,0.7823716541665492,1,256,mse,2048,200,32,0.0,identity,mse,1,gpu,3,15,0.0003,5
neurotrees,270.578783866,27,0.5956128373599843,0.7817408486223939,1,128,mse,2048,200,64,0.0,identity,mse,1,gpu,3,16,0.0003,5
