model_type,train_time,best_nround,mse,ndcg,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,95.592723193,843,0.5765601916652778,0.7905069444295448,0,rmse,0.8,8,1,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,95.037528001,1289,0.5986984122064117,0.7831692492993496,0,rmse,1.0,4,10,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,61.348160568,520,0.5860944294950489,0.7856986916002529,0,rmse,0.8,8,1,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,125.985024153,1094,0.5760399854230109,0.7907786861850217,0,rmse,1.0,8,1,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,78.017992322,659,0.5840730511014566,0.7875585852369532,0,rmse,1.0,8,1,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,128.016476328,1731,0.5953566884095592,0.7846632374466073,0,rmse,1.0,4,10,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,123.071971087,1357,0.5828536239245696,0.788031502958995,0,rmse,0.6,6,1,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,102.098507468,989,0.5879940859420012,0.7858522532676806,0,rmse,1.0,6,10,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,81.162722724,811,0.5916363409083472,0.7853890452905693,0,rmse,1.0,6,0,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,87.601364524,759,0.5813328721166865,0.7886455368076527,0,rmse,0.8,8,10,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,113.615033764,1179,0.5847284595020192,0.7874244676122519,0,rmse,0.8,6,1,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,164.462601888,1037,0.5670234359243813,0.7953852669525106,0,rmse,0.8,10,10,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,88.444555194,1165,0.6015908925120357,0.783440090285777,0,rmse,0.8,4,0,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,104.466035827,1174,0.5845555096935865,0.7878668082880128,0,rmse,1.0,6,10,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,71.952964861,598,0.5814884569565009,0.7900323965818983,0,rmse,0.8,8,1,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,91.362223624,943,0.5891450252414832,0.7853194070823781,0,rmse,0.8,6,0,0.05,reg:squarederror,hist,0.4,5000,10,128
