model_type,train_time,best_nround,mse,ndcg,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,105.97872243,912,0.5458316456451937,0.7974677186146103,0,rmse,1.0,10,1,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,78.774807982,2093,0.5723536206288496,0.7901573748653589,0,rmse,0.4,4,10,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,45.063156238,1140,0.579290405832843,0.7881103613319175,0,rmse,0.6,4,0,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,84.844754184,744,0.5479841226151184,0.796032474954154,0,rmse,0.8,10,0,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,83.865410191,757,0.5472806926234319,0.7955524510975067,0,rmse,0.6,10,1,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,50.580483212,1043,0.5660803451498562,0.7908418363126799,0,rmse,0.6,6,0,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,65.414224817,1661,0.5751131385489827,0.7887038940851248,0,rmse,0.8,4,1,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,65.344921879,1006,0.5527777381525739,0.7958985334409863,0,rmse,0.6,8,10,0.05,reg:squarederror,hist,1.0,5000,10,128
xgboost,52.376818784,456,0.5618288590550252,0.7883724361384463,0,rmse,0.6,10,0,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,55.275660964,1160,0.5630089463899692,0.7927211440127181,0,rmse,0.6,6,10,0.05,reg:squarederror,hist,0.6,5000,10,128
xgboost,68.151713303,1057,0.552795581740232,0.7967781660088014,0,rmse,0.4,8,10,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,63.182023887,903,0.553932981925378,0.7953218128744098,0,rmse,1.0,8,0,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,53.061102776,437,0.5582756319733944,0.7911220204202288,0,rmse,1.0,10,1,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,42.459139365,373,0.5597324090734083,0.7917979831249633,0,rmse,0.6,10,1,0.05,reg:squarederror,hist,0.4,5000,10,128
xgboost,60.720370856,1601,0.5742037324501292,0.7887040628814325,0,rmse,0.8,4,0,0.05,reg:squarederror,hist,0.8,5000,10,128
xgboost,68.976965912,1422,0.5606113721099545,0.793911349092237,0,rmse,0.6,6,10,0.05,reg:squarederror,hist,0.8,5000,10,128
