model_type,train_time,best_nround,mse,gini,eval_metric,max_depth,learning_rate,rsm,objective,subsample,iterations,early_stopping_rounds,reg_lambda
catboost,8.112807788,662,80.70064172591024,0.6257854164231875,RMSE,6,0.2,0.9,RMSE,0.3,2000,5,0
catboost,14.22599751,429,81.0715661049439,0.6232809640111807,RMSE,8,0.2,0.5,RMSE,0.9,2000,5,0
catboost,26.233230053,330,81.90804571837239,0.6178130029685636,RMSE,10,0.2,0.9,RMSE,0.9,2000,5,0
catboost,12.596925947,233,81.33356076005147,0.6188317647452464,RMSE,10,0.2,0.5,RMSE,0.9,2000,5,1
catboost,14.402175704,384,80.73710934944994,0.6243217072311467,RMSE,8,0.2,0.9,RMSE,0.9,2000,5,1
catboost,10.954179034,607,80.53326319567239,0.6253072803227496,RMSE,6,0.2,0.9,RMSE,0.9,2000,5,1
catboost,23.336805088,355,81.50583544379707,0.6196862745235507,RMSE,10,0.2,0.9,RMSE,0.6,2000,5,1
catboost,10.538468716,497,80.37573542501957,0.6267603865884017,RMSE,8,0.2,0.5,RMSE,0.3,2000,5,10
catboost,9.750852677,712,80.43989255134807,0.6274138006754003,RMSE,6,0.2,0.5,RMSE,0.6,2000,5,10
catboost,8.567925994,699,81.0455583306191,0.6235116152504417,RMSE,6,0.2,0.9,RMSE,0.3,2000,5,1
catboost,4.43102954,589,81.47921495944288,0.6200038473963858,RMSE,4,0.2,0.9,RMSE,0.3,2000,5,0
catboost,12.903347973,246,81.52814669535844,0.6171464557859384,RMSE,10,0.2,0.9,RMSE,0.3,2000,5,1
catboost,14.190753742,391,81.4712174193763,0.6186552171632304,RMSE,10,0.2,0.5,RMSE,0.3,2000,5,1
catboost,9.225068005,682,80.48356453400002,0.6259859751882499,RMSE,6,0.2,0.5,RMSE,0.6,2000,5,0
catboost,6.429354525,675,81.08907719470841,0.6225531695098007,RMSE,4,0.2,0.9,RMSE,0.6,2000,5,1
catboost,7.040195976,842,80.9259267442932,0.623898783360213,RMSE,4,0.2,0.5,RMSE,0.6,2000,5,1
