model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,25.784757737,1465,80.47718,0.6250231898861394,0,0,binary,mse,5,0,1,0.05,0.6,128,2000,mse,1.0,5
evotrees,159.061898717,886,79.39982,0.6313271643634478,0,10,binary,mse,11,0,1,0.05,0.8,128,2000,mse,0.6,5
evotrees,72.014407126,1204,78.98731,0.634600812965075,0,10,binary,mse,9,0,1,0.05,0.8,128,2000,mse,0.6,5
evotrees,57.747367424,1138,79.22431,0.6343435689773312,0,1,binary,mse,9,0,1,0.05,0.8,128,2000,mse,0.4,5
evotrees,12.899173923,1326,80.8248,0.6225231128489105,0,10,binary,mse,5,0,1,0.05,0.4,128,2000,mse,0.8,5
evotrees,26.485507429,985,80.27343,0.6263102528045278,0,0,binary,mse,7,0,1,0.05,0.4,128,2000,mse,0.8,5
evotrees,156.550230792,1005,79.11814,0.6339343171786481,0,10,binary,mse,11,0,1,0.05,1.0,128,2000,mse,0.4,5
evotrees,43.135512276,1542,79.35504,0.6339723284947862,0,1,binary,mse,7,0,1,0.05,1.0,128,2000,mse,0.4,5
evotrees,41.693685079,2000,80.41165,0.625944234230423,0,1,binary,mse,5,0,1,0.05,1.0,128,2000,mse,0.8,5
evotrees,176.060739511,834,79.94818,0.6278910119176498,0,10,binary,mse,11,0,1,0.05,0.6,128,2000,mse,1.0,5
evotrees,59.913236072,845,79.524475,0.630830555567116,0,0,binary,mse,9,0,1,0.05,1.0,128,2000,mse,0.8,5
evotrees,45.750470285,1211,79.880005,0.6286233421335443,0,1,binary,mse,7,0,1,0.05,1.0,128,2000,mse,1.0,5
evotrees,145.760647296,707,80.30452,0.625544060011909,0,1,binary,mse,11,0,1,0.05,0.6,128,2000,mse,1.0,5
evotrees,35.928526567,1326,79.46084,0.6316927352711963,0,10,binary,mse,7,0,1,0.05,0.6,128,2000,mse,0.6,5
evotrees,121.17970099,703,80.101105,0.6274307143988384,0,10,binary,mse,11,0,1,0.05,0.6,128,2000,mse,0.6,5
evotrees,45.920214259,897,79.11952,0.6346986839026094,0,10,binary,mse,9,0,1,0.05,0.8,128,2000,mse,0.4,5
