model_type,train_time,best_nround,mse,gini,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,69.640113854,723,80.10705894122793,0.6280910251448717,0.5,"[""mse""]",-1,0.05,20,mse,2000,5,1,2048,128,0.9
lightgbm,13.088967829,1013,79.69754484374418,0.6293314810063135,0.9,"[""mse""]",-1,0.05,20,mse,2000,5,10,128,128,0.6
lightgbm,123.597755214,1176,79.73953052154293,0.6286843756659841,0.9,"[""mse""]",-1,0.05,20,mse,2000,5,1,2048,128,0.3
lightgbm,7.615537692,759,79.80143932376812,0.6290017478749379,0.5,"[""mse""]",-1,0.05,20,mse,2000,5,0,128,128,0.9
lightgbm,12.94452995,1013,79.69754484374418,0.6293314810063135,0.9,"[""mse""]",-1,0.05,20,mse,2000,5,10,128,128,0.3
lightgbm,21.388250224,714,79.73354677610503,0.6294096669264535,0.9,"[""mse""]",-1,0.05,20,mse,2000,5,1,512,128,0.9
lightgbm,6.895511188,641,79.47362056845623,0.6316624872414821,0.5,"[""mse""]",-1,0.05,20,mse,2000,5,10,128,128,0.9
lightgbm,75.583714052,699,79.63204581695064,0.6278531870494233,0.9,"[""mse""]",-1,0.05,20,mse,2000,5,0,2048,128,0.9
lightgbm,11.122416241,876,79.81828986814598,0.6283148184089387,0.9,"[""mse""]",-1,0.05,20,mse,2000,5,0,128,128,0.3
lightgbm,17.795496662,754,79.48463826289068,0.6322351708864407,0.5,"[""mse""]",-1,0.05,20,mse,2000,5,1,512,128,0.6
lightgbm,7.609625155,728,79.79450245215867,0.6299177899748528,0.5,"[""mse""]",-1,0.05,20,mse,2000,5,1,128,128,0.3
lightgbm,7.513558783,728,79.79450245215867,0.6299177899748528,0.5,"[""mse""]",-1,0.05,20,mse,2000,5,1,128,128,0.9
lightgbm,18.0898115,565,79.54693900531471,0.6315262549195537,0.9,"[""mse""]",-1,0.05,20,mse,2000,5,10,512,128,0.6
lightgbm,7.263536308,641,79.47362056845623,0.6316624872414821,0.5,"[""mse""]",-1,0.05,20,mse,2000,5,10,128,128,0.6
lightgbm,188.032592372,1716,79.36223149807347,0.6304011660270773,0.9,"[""mse""]",-1,0.05,20,mse,2000,5,10,2048,128,0.3
lightgbm,21.437141718,714,79.73354677610503,0.6294096669264535,0.9,"[""mse""]",-1,0.05,20,mse,2000,5,1,512,128,0.6
